Sample name	L1 distance
strain_sample_41-kraken2_refseqV205-0.55	5778936.0
strain_sample_41-kraken2_refseqV205-0.35	6012520.0
strain_sample_41-kraken2_refseqV205-0.25	6430795.0
strain_sample_41-kraken2_refseqV205-0.30	6197715.0
strain_sample_41-kraken2_refseqV205-0.45	5719140.0
strain_sample_41-kraken2_refseqV205-0.15	7383095.0
strain_sample_41-kraken2_refseqV205-0.20	7106843.0
strain_sample_41-kraken2_refseqV205-0.05	7413805.0
strain_sample_41-kraken2_refseqV205-0.10	7486950.0
strain_sample_41-kraken2_refseqV205-0.50	5730075.0
strain_sample_41-kraken2_refseqV205-0.40	5797958.0
strain_sample_41-kraken2_refseqV205-0.00	7457561.0
strain_sample_41-kraken2_refseqV205-0.95	11925781.0
strain_sample_41-kraken2_refseqV205-0.85	11078550.0
strain_sample_41-kraken2_refseqV205-0.80	10380135.0
strain_sample_41-kraken2_refseqV205-0.75	9469139.0
strain_sample_41-kraken2_refseqV205-0.60	6709331.0
strain_sample_41-kraken2_refseqV205-1.00	12177099.0
strain_sample_41-kraken2_refseqV205-0.70	8675699.0
strain_sample_41-kraken2_refseqV205-0.90	11564002.0
strain_sample_41-kraken2_refseqV205-0.65	7716884.0
strain_sample_38-kraken2_refseqV205-0.05	10823568.0
strain_sample_38-kraken2_refseqV205-0.10	10657633.0
strain_sample_38-kraken2_refseqV205-0.00	11073166.0
strain_sample_38-kraken2_refseqV205-0.45	6408530.0
strain_sample_38-kraken2_refseqV205-0.35	6555807.0
strain_sample_38-kraken2_refseqV205-0.30	6744902.0
strain_sample_38-kraken2_refseqV205-0.40	6393829.0
strain_sample_38-kraken2_refseqV205-0.25	8011105.0
strain_sample_38-kraken2_refseqV205-0.20	8963773.0
strain_sample_38-kraken2_refseqV205-0.65	7865905.0
strain_sample_38-kraken2_refseqV205-0.50	6463578.0
strain_sample_38-kraken2_refseqV205-0.55	6640340.0
strain_sample_38-kraken2_refseqV205-0.60	6901467.0
strain_sample_38-kraken2_refseqV205-0.15	10334899.0
strain_sample_38-kraken2_refseqV205-0.70	8799613.0
strain_sample_38-kraken2_refseqV205-0.75	9566140.0
strain_sample_38-kraken2_refseqV205-0.95	11892513.0
strain_sample_38-kraken2_refseqV205-0.90	11538400.0
strain_sample_38-kraken2_refseqV205-0.85	11086265.0
strain_sample_38-kraken2_refseqV205-1.00	12126375.0
strain_sample_38-kraken2_refseqV205-0.80	10424453.0
