Sample name,Proportion classified,Precision reads,Precision taxa,Mean Precision,Recall reads,Recall taxa,Mean Recall,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score
marine_sample_0-kraken2_refseqV205_100GB-0.00,0.84463347,0.305377618,0.06122449,0.183301054,0.266540331,0.926640927,0.596590629,0.284640311,0.114860014,43165803,125.7471922,19.46258134,0.715359689,0.733368009,0.969322525,6.490723612,4090.52439,0.175174276,0.543764806,0.008315614,3920,0.199750163
marine_sample_0-kraken2_refseqV205_100GB-0.05,0.387585055,0.578355346,0.106015987,0.342185666,0.231643021,0.972972973,0.602307997,0.330795678,0.191198786,30197220,127.0470913,16.84520152,0.669204322,0.730404437,0.974195219,6.719639512,3169.747573,0.160668249,0.599169303,0.016303117,2377,0.260997232
marine_sample_0-kraken2_refseqV205_100GB-0.10,0.109439315,0.817921548,0.417657046,0.617789297,0.092500154,0.94980695,0.521153552,0.166204011,0.580188679,29902644,89.35202109,23.12892657,0.833795989,0.734415793,0.97245732,6.488961959,616.5555556,0.165986659,0.705159166,0.061642255,589,0.373196345
marine_sample_0-kraken2_refseqV205_100GB-0.15,0.02072084,0.87187779,0.657534247,0.764706018,0.018668972,0.926640927,0.472654949,0.03655521,0.769230769,31706389,81.7582131,43.41455323,0.96344479,0.73634722,0.973417493,6.513897788,367.5,0.163127494,0.765282786,0.103065,365,0.40289299
marine_sample_0-kraken2_refseqV205_100GB-0.20,0.00281912,0.899437472,0.798586572,0.849012022,0.002620245,0.872586873,0.437603559,0.005225268,0.833948339,32144519,70.525027,70.503179,0.994774732,0.739653833,0.972458087,6.384744952,283.3333333,0.166457668,0.783918092,0.128297876,283,0.419586804
marine_sample_0-kraken2_refseqV205_100GB-0.25,0.000427965,0.904484525,0.890410959,0.897447742,0.000400006,0.752895753,0.37664788,0.000799659,0.815899582,32207976,54.37001201,90.82571706,0.999200341,0.748618595,0.971331772,6.197522261,221.1428571,0.171947531,0.797130804,0.159277723,219,0.40834962
marine_sample_0-kraken2_refseqV205_100GB-0.30,2.98E-05,0.872104733,0.949367089,0.910735911,2.69E-05,0.28957529,0.144801084,5.38E-05,0.443786982,32218764,30.69289743,74.87017759,0.999946245,0.796891717,0.952135239,5.213195423,87.66666667,0.23741922,0.826995042,0.264458184,79,0.221920368
marine_sample_0-kraken2_refseqV205_100GB-0.35,1.83E-06,1,1,1,1.89E-06,0.027027027,0.01351446,3.79E-06,0.052631579,32219442,23.41081515,25.92342997,0.999996213,0.948448181,0.753023381,2.397519216,7,0.550636236,0.854013576,0.578423753,7,0.026317683
marine_sample_0-kraken2_refseqV205_100GB-0.40,0,0,0,0,0,0,0,0,0,32219503,24.19985375,0,1,0,0,0,0,0,0,0,0,0
marine_sample_0-kraken2_refseqV205_100GB-0.45,0,0,0,0,0,0,0,0,0,32219503,24.19985375,0,1,0,0,0,0,0,0,0,0,0
marine_sample_0-kraken2_refseqV205_100GB-0.50,0,0,0,0,0,0,0,0,0,32219503,24.19985375,0,1,0,0,0,0,0,0,0,0,0
marine_sample_0-kraken2_refseqV205_100GB-0.55,0,0,0,0,0,0,0,0,0,32219503,24.19985375,0,1,0,0,0,0,0,0,0,0,0
