Sample name,Proportion classified,Precision reads,Precision taxa,Mean Precision,Recall reads,Recall taxa,Mean Recall,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score
marine_sample_0-kraken2_refseqV205-0.00,0.979963532,0.267923892,0.008754301,0.138339096,0.271318121,0.992277992,0.631798056,0.269610324,0.017355484,47363713,305.910504,28.45862473,0.730389676,0.728807851,0.974770162,7.271566576,33038.6543,0.158982073,0.489950967,0.001350125,29357,0.143482904
marine_sample_0-kraken2_refseqV205-0.05,0.960829247,0.27452326,0.01986755,0.147195405,0.272572982,0.984555985,0.628564483,0.273544645,0.038949137,46645779,224.2633783,26.79840297,0.726455355,0.727404063,0.97340795,6.906050083,16468.49521,0.163136137,0.506019452,0.002929897,12835,0.156246891
marine_sample_0-kraken2_refseqV205-0.10,0.939452659,0.280828383,0.044444444,0.162636414,0.272629811,0.980694981,0.626662396,0.276668372,0.085035152,45930388,170.8869493,22.58553209,0.723331628,0.727280017,0.972697811,6.756071706,7455.289747,0.165263931,0.541328573,0.006408941,5715,0.180851762
marine_sample_0-kraken2_refseqV205-0.15,0.912231463,0.288820219,0.085013441,0.18691683,0.272263914,0.976833977,0.624548946,0.280297798,0.156414219,45047642,138.8932423,22.22202321,0.719702202,0.727572177,0.972211066,6.674911713,3876.974684,0.166716461,0.578457392,0.012091918,2976,0.218356009
marine_sample_0-kraken2_refseqV205-0.20,0.875255978,0.300395066,0.137949836,0.219172451,0.271697301,0.976833977,0.624265639,0.285326403,0.241758242,43853063,118.0430102,22.64256384,0.714673597,0.728043934,0.971727978,6.614166143,2188.414414,0.168153438,0.610119144,0.019286073,1834,0.263542322
marine_sample_0-kraken2_refseqV205-0.25,0.837885087,0.31226788,0.200158228,0.256213054,0.270376672,0.976833977,0.623605325,0.289816321,0.332239002,42693907,105.2200132,22.63592453,0.710183679,0.72840267,0.971390611,6.579090834,1375.33871,0.169150759,0.638512309,0.027653133,1264,0.311027661
marine_sample_0-kraken2_refseqV205-0.30,0.784794918,0.330927797,0.264550265,0.297739031,0.268377976,0.965250965,0.616814471,0.296388709,0.415282392,41055075,99.306075,21.40586253,0.703611291,0.729800027,0.971008153,6.553049113,985.5294118,0.170276075,0.662984223,0.036499954,945,0.355835551
marine_sample_0-kraken2_refseqV205-0.35,0.724212046,0.356681608,0.304506699,0.330594154,0.266934006,0.965250965,0.616092486,0.305349797,0.462962963,39131029,96.18411795,21.45528078,0.694650203,0.730399901,0.970634639,6.527637552,868.04,0.17136907,0.674256461,0.041478353,821,0.38415638
marine_sample_0-kraken2_refseqV205-0.40,0.657639228,0.387043226,0.340659341,0.363851283,0.2630296,0.957528958,0.610279279,0.313207447,0.502532928,37166097,96.10018021,19.41070158,0.686792553,0.732302148,0.970301097,6.531224408,744.7142857,0.17233942,0.686933685,0.046251754,728,0.407870187
marine_sample_0-kraken2_refseqV205-0.45,0.586965769,0.423295425,0.376899696,0.40009756,0.256751974,0.957528958,0.607140466,0.319630473,0.54089422,35217563,93.9324363,19.09858756,0.680369527,0.732992607,0.96989353,6.506066831,679.0833333,0.173517993,0.694948292,0.05047941,658,0.430262347
marine_sample_0-kraken2_refseqV205-0.50,0.525687532,0.454471139,0.398058252,0.426264695,0.246883138,0.94980695,0.598345044,0.319956018,0.561003421,33813255,93.16783169,16.35453841,0.680043982,0.733357369,0.969530839,6.483419144,639,0.174560331,0.699287602,0.05310691,618,0.440479719
