Sample name,Proportion classified,Precision reads,Precision taxa,Mean Precision,Recall reads,Recall taxa,Mean Recall,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score
marine_sample_0-kraken2_refseqV208_nt-0.00,0.953471099,0.274182391,0.015099275,0.144640833,0.270149729,0.980694981,0.625422355,0.272151122,0.029740648,46556943,263.4371479,29.53843647,0.727848878,0.729822989,0.973165149,6.94653396,24228.193,0.163900309,0.494835694,0.002215252,16822,0.150945885
marine_sample_0-kraken2_refseqV208_nt-0.05,0.924186247,0.282749725,0.037989829,0.160369777,0.270034426,0.980694981,0.625364703,0.276245835,0.073146148,45589340,168.878628,33.03727361,0.723754165,0.729884943,0.971570286,6.637127788,8430.014981,0.168647771,0.522323568,0.005260913,6686,0.174695992
marine_sample_0-kraken2_refseqV208_nt-0.10,0.897748356,0.290664112,0.078382582,0.184523347,0.269651894,0.972972973,0.621312433,0.279764017,0.14507772,44733746,131.1008518,25.32126093,0.720235983,0.729953697,0.970841231,6.546992467,4133.580645,0.170777752,0.561944515,0.010667185,3215,0.212420869
marine_sample_0-kraken2_refseqV208_nt-0.15,0.866448595,0.299972955,0.132841328,0.216407142,0.268585366,0.972972973,0.620779169,0.283412775,0.233766234,43760353,113.0905365,25.49284394,0.716587225,0.730446301,0.970355107,6.505203676,2439.730769,0.172188241,0.59738292,0.017782089,1897,0.258589505
marine_sample_0-kraken2_refseqV208_nt-0.20,0.826228308,0.313353459,0.20096463,0.257159044,0.267542023,0.965250965,0.616396494,0.288641316,0.332667997,42488459,100.9554265,21.11957082,0.711358684,0.731160733,0.969840119,6.463483619,1494.62963,0.173673852,0.628696405,0.026653239,1244,0.310654657
marine_sample_0-kraken2_refseqV208_nt-0.25,0.787068848,0.327831684,0.261506276,0.29466898,0.266637415,0.965250965,0.61594419,0.2940849,0.411522634,41242945,94.57409488,20.76508098,0.7059151,0.731802169,0.969530452,6.442215631,1050.516667,0.174561647,0.650671881,0.034330182,956,0.352803767
marine_sample_0-kraken2_refseqV208_nt-0.30,0.733115181,0.350310067,0.323376623,0.336843345,0.265388606,0.961389961,0.613389284,0.301992856,0.483965015,39527041,90.4996205,20.22607327,0.698007144,0.732451598,0.969188289,6.42022673,817.6341463,0.175538181,0.669560726,0.0421496,770,0.392978935
marine_sample_0-kraken2_refseqV208_nt-0.35,0.673065035,0.37931099,0.355714286,0.367512638,0.263821326,0.961389961,0.612605644,0.311196703,0.519290928,37628678,88.09310177,19.69926916,0.688803297,0.732910564,0.968882353,6.401408164,773.75,0.176407451,0.677310885,0.045908722,700,0.415243816
marine_sample_0-kraken2_refseqV208_nt-0.40,0.608435704,0.414885442,0.38190184,0.398393641,0.2608557,0.961389961,0.611122831,0.320315652,0.546652031,35667960,85.82171203,19.18272062,0.679684348,0.733642701,0.968575397,6.383883724,690.0769231,0.177275556,0.6828612,0.048807055,652,0.433483841
marine_sample_0-kraken2_refseqV208_nt-0.45,0.540673751,0.459399568,0.410596026,0.434997797,0.256674847,0.957528958,0.607101902,0.329340949,0.574739282,33681250,83.99119225,17.74339721,0.670659051,0.734328922,0.968300778,6.366729283,636.5,0.178048716,0.689158947,0.052229331,604,0.452040115
