Sample name	Simpson's evenness
strain_sample_0-kraken2_refseqV205_100GB-0.15	0.08315706457423422
strain_sample_0-kraken2_refseqV205_100GB-0.50	nan
strain_sample_0-kraken2_refseqV205_100GB-0.45	nan
strain_sample_0-kraken2_refseqV205_100GB-0.30	1.0
strain_sample_0-kraken2_refseqV205_100GB-0.10	0.02374803963116493
strain_sample_0-kraken2_refseqV205_100GB-0.35	nan
strain_sample_0-kraken2_refseqV205_100GB-0.20	0.14091411954666988
strain_sample_0-kraken2_refseqV205_100GB-0.55	nan
strain_sample_0-kraken2_refseqV205_100GB-0.25	0.23857590394196856
strain_sample_0-kraken2_refseqV205_100GB-0.40	nan
strain_sample_0-kraken2_refseqV205_100GB-0.05	0.0033097703531607676
strain_sample_0-kraken2_refseqV205_100GB-0.00	0.0013871406579547987
strain_sample_0-kraken2_refseqV205_100GB-0.95	nan
strain_sample_0-kraken2_refseqV205_100GB-0.75	nan
strain_sample_0-kraken2_refseqV205_100GB-0.60	nan
strain_sample_0-kraken2_refseqV205_100GB-0.85	nan
strain_sample_0-kraken2_refseqV205_100GB-0.80	nan
strain_sample_0-kraken2_refseqV205_100GB-0.70	nan
strain_sample_0-kraken2_refseqV205_100GB-0.90	nan
strain_sample_0-kraken2_refseqV205_100GB-0.65	nan
strain_sample_0-kraken2_refseqV205_100GB-1.00	nan
plant_sample_9-kraken2_refseqV205_100GB-0.10	0.006380844199463689
plant_sample_9-kraken2_refseqV205_100GB-0.05	0.0011349072834315132
plant_sample_9-kraken2_refseqV205_100GB-0.00	0.001052229408810787
plant_sample_9-kraken2_refseqV205_100GB-0.40	nan
plant_sample_9-kraken2_refseqV205_100GB-0.35	0.5524861878453039
plant_sample_9-kraken2_refseqV205_100GB-0.50	nan
plant_sample_9-kraken2_refseqV205_100GB-0.25	0.061969128409299246
plant_sample_9-kraken2_refseqV205_100GB-0.65	nan
plant_sample_9-kraken2_refseqV205_100GB-0.70	nan
plant_sample_9-kraken2_refseqV205_100GB-0.55	nan
plant_sample_9-kraken2_refseqV205_100GB-0.45	nan
plant_sample_9-kraken2_refseqV205_100GB-0.30	0.1319373389927568
plant_sample_9-kraken2_refseqV205_100GB-0.20	0.032331710375156524
plant_sample_9-kraken2_refseqV205_100GB-0.60	nan
plant_sample_9-kraken2_refseqV205_100GB-0.15	0.015578658782873185
strain_sample_29-kraken2_refseqV205_100GB-0.25	0.2157254729945632
strain_sample_29-kraken2_refseqV205_100GB-0.15	0.0948959075004727
strain_sample_29-kraken2_refseqV205_100GB-0.20	0.1763919897733786
plant_sample_9-kraken2_refseqV205_100GB-1.00	nan
plant_sample_9-kraken2_refseqV205_100GB-0.95	nan
plant_sample_9-kraken2_refseqV205_100GB-0.75	nan
plant_sample_9-kraken2_refseqV205_100GB-0.85	nan
plant_sample_9-kraken2_refseqV205_100GB-0.90	nan
strain_sample_29-kraken2_refseqV205_100GB-0.10	0.028089003901839014
plant_sample_9-kraken2_refseqV205_100GB-0.80	nan
strain_sample_29-kraken2_refseqV205_100GB-0.05	0.0033505692288367207
strain_sample_29-kraken2_refseqV205_100GB-0.00	0.0012750592373001373
strain_sample_29-kraken2_refseqV205_100GB-0.50	nan
strain_sample_29-kraken2_refseqV205_100GB-0.30	1.0
strain_sample_29-kraken2_refseqV205_100GB-0.40	nan
strain_sample_29-kraken2_refseqV205_100GB-0.85	nan
strain_sample_29-kraken2_refseqV205_100GB-0.60	nan
strain_sample_29-kraken2_refseqV205_100GB-0.65	nan
strain_sample_29-kraken2_refseqV205_100GB-0.45	nan
strain_sample_29-kraken2_refseqV205_100GB-0.75	nan
strain_sample_29-kraken2_refseqV205_100GB-0.55	nan
strain_sample_29-kraken2_refseqV205_100GB-0.70	nan
strain_sample_29-kraken2_refseqV205_100GB-0.80	nan
strain_sample_29-kraken2_refseqV205_100GB-0.35	nan
strain_sample_29-kraken2_refseqV205_100GB-0.90	nan
strain_sample_29-kraken2_refseqV205_100GB-1.00	nan
plant_sample_20-kraken2_refseqV205_100GB-0.30	0.20735515851538014
plant_sample_20-kraken2_refseqV205_100GB-0.40	nan
plant_sample_20-kraken2_refseqV205_100GB-0.35	0.8151571164510166
plant_sample_20-kraken2_refseqV205_100GB-0.25	0.07463805461709322
strain_sample_29-kraken2_refseqV205_100GB-0.95	nan
plant_sample_20-kraken2_refseqV205_100GB-0.20	0.03366035562348433
plant_sample_20-kraken2_refseqV205_100GB-0.15	0.019933119054729182
plant_sample_20-kraken2_refseqV205_100GB-0.10	0.008567170730353891
plant_sample_20-kraken2_refseqV205_100GB-0.05	0.0015802397087843721
plant_sample_20-kraken2_refseqV205_100GB-0.00	0.002229705416496115
plant_sample_20-kraken2_refseqV205_100GB-0.95	nan
plant_sample_20-kraken2_refseqV205_100GB-0.50	nan
plant_sample_20-kraken2_refseqV205_100GB-0.90	nan
