Sample name	Shannon diversity
plant_sample_20-kraken2_refseqV205_500GB-0.50	3.6551609109109373
plant_sample_20-kraken2_refseqV205_500GB-0.45	3.659889507892465
plant_sample_20-kraken2_refseqV205_500GB-0.40	3.6598944392111
plant_sample_20-kraken2_refseqV205_500GB-0.30	3.7402067786292688
plant_sample_20-kraken2_refseqV205_500GB-0.35	3.7280637135355303
plant_sample_20-kraken2_refseqV205_500GB-0.55	3.629702864740575
plant_sample_20-kraken2_refseqV205_500GB-0.25	3.7622232493614596
plant_sample_20-kraken2_refseqV205_500GB-0.20	3.7894893502666105
plant_sample_20-kraken2_refseqV205_500GB-0.15	3.877987441669161
plant_sample_20-kraken2_refseqV205_500GB-0.10	4.061493475279528
plant_sample_20-kraken2_refseqV205_500GB-0.05	4.53386791423373
plant_sample_20-kraken2_refseqV205_500GB-0.00	5.894145403335004
plant_sample_20-kraken2_refseqV205_500GB-0.70	2.4654202261863505
plant_sample_20-kraken2_refseqV205_500GB-0.85	nan
plant_sample_20-kraken2_refseqV205_500GB-0.80	nan
plant_sample_20-kraken2_refseqV205_500GB-0.90	nan
plant_sample_20-kraken2_refseqV205_500GB-0.95	nan
plant_sample_20-kraken2_refseqV205_500GB-0.75	1.7781434457130414
plant_sample_20-kraken2_refseqV205_500GB-0.60	3.484017968107198
plant_sample_20-kraken2_refseqV205_500GB-0.65	3.091768894004044
plant_sample_20-kraken2_refseqV205_500GB-1.00	nan
strain_sample_29-kraken2_refseqV205_500GB-0.10	2.4017476637844797
strain_sample_29-kraken2_refseqV205_500GB-0.05	2.630172098680406
strain_sample_29-kraken2_refseqV205_500GB-0.00	3.5171162978125694
strain_sample_29-kraken2_refseqV205_500GB-0.35	1.4410268876097345
strain_sample_29-kraken2_refseqV205_500GB-0.25	1.5852151169481046
strain_sample_29-kraken2_refseqV205_500GB-0.30	1.4942862235746321
strain_sample_29-kraken2_refseqV205_500GB-0.50	1.2903692708412924
strain_sample_29-kraken2_refseqV205_500GB-0.55	1.2346779251677138
strain_sample_29-kraken2_refseqV205_500GB-0.20	1.6752989138007783
strain_sample_29-kraken2_refseqV205_500GB-0.40	1.3970055533300347
strain_sample_29-kraken2_refseqV205_500GB-0.15	2.1625969187397907
strain_sample_29-kraken2_refseqV205_500GB-0.45	1.407067946562758
strain_sample_29-kraken2_refseqV205_500GB-0.70	0.2992893161253199
strain_sample_29-kraken2_refseqV205_500GB-0.65	0.7554706669482084
strain_sample_29-kraken2_refseqV205_500GB-0.60	1.0162479796292028
strain_sample_29-kraken2_refseqV205_500GB-0.95	nan
strain_sample_29-kraken2_refseqV205_500GB-0.85	nan
strain_sample_29-kraken2_refseqV205_500GB-1.00	nan
strain_sample_29-kraken2_refseqV205_500GB-0.75	nan
strain_sample_29-kraken2_refseqV205_500GB-0.80	nan
strain_sample_29-kraken2_refseqV205_500GB-0.90	nan
plant_sample_9-kraken2_refseqV205_500GB-0.20	3.226656627499441
plant_sample_9-kraken2_refseqV205_500GB-0.10	3.529798139398523
plant_sample_9-kraken2_refseqV205_500GB-0.25	3.1734378357841533
plant_sample_9-kraken2_refseqV205_500GB-0.15	3.3285655308932443
plant_sample_9-kraken2_refseqV205_500GB-0.05	3.9771057824929366
plant_sample_9-kraken2_refseqV205_500GB-0.00	5.363644917460551
plant_sample_9-kraken2_refseqV205_500GB-0.60	2.6453483731941216
plant_sample_9-kraken2_refseqV205_500GB-0.55	2.9110995287714494
plant_sample_9-kraken2_refseqV205_500GB-0.75	0.977478045505969
plant_sample_9-kraken2_refseqV205_500GB-0.65	2.274829323547364
plant_sample_9-kraken2_refseqV205_500GB-0.70	2.1394025873412743
plant_sample_9-kraken2_refseqV205_500GB-0.45	3.034482691392449
plant_sample_9-kraken2_refseqV205_500GB-0.80	nan
plant_sample_9-kraken2_refseqV205_500GB-0.40	3.0584381892896193
plant_sample_9-kraken2_refseqV205_500GB-0.35	3.089939392975156
plant_sample_9-kraken2_refseqV205_500GB-0.30	3.125985169485988
plant_sample_9-kraken2_refseqV205_500GB-0.85	nan
plant_sample_9-kraken2_refseqV205_500GB-0.50	2.985768752008841
plant_sample_9-kraken2_refseqV205_500GB-0.90	nan
plant_sample_9-kraken2_refseqV205_500GB-0.95	nan
plant_sample_9-kraken2_refseqV205_500GB-1.00	nan
strain_sample_0-kraken2_refseqV205_500GB-0.30	1.9241523331913837
strain_sample_0-kraken2_refseqV205_500GB-0.25	1.9597892707787612
strain_sample_0-kraken2_refseqV205_500GB-0.20	2.017584547695462
strain_sample_0-kraken2_refseqV205_500GB-0.35	1.8741735888082458
strain_sample_0-kraken2_refseqV205_500GB-0.40	1.8754410825845984
strain_sample_0-kraken2_refseqV205_500GB-0.15	2.3500111554886867
strain_sample_0-kraken2_refseqV205_500GB-0.10	2.513780545067454
strain_sample_0-kraken2_refseqV205_500GB-0.05	2.8104807043854456
strain_sample_0-kraken2_refseqV205_500GB-0.00	3.6980838611790348
strain_sample_0-kraken2_refseqV205_500GB-0.70	-0.0
strain_sample_0-kraken2_refseqV205_500GB-0.45	1.834694719076271
strain_sample_0-kraken2_refseqV205_500GB-0.75	nan
strain_sample_0-kraken2_refseqV205_500GB-0.80	nan
strain_sample_0-kraken2_refseqV205_500GB-0.90	nan
strain_sample_0-kraken2_refseqV205_500GB-0.60	0.9798214320281693
strain_sample_0-kraken2_refseqV205_500GB-0.95	nan
strain_sample_0-kraken2_refseqV205_500GB-0.85	nan
strain_sample_0-kraken2_refseqV205_500GB-0.55	1.607678094963143
strain_sample_0-kraken2_refseqV205_500GB-0.65	0.9268719806593526
strain_sample_0-kraken2_refseqV205_500GB-0.50	1.809667230025404
