Sample name	Number of taxa
mouse_sample_32-kraken2_standard_0521-0.55	144
mouse_sample_32-kraken2_standard_0521-0.50	160
mouse_sample_32-kraken2_standard_0521-0.35	210
mouse_sample_32-kraken2_standard_0521-0.45	172
mouse_sample_32-kraken2_standard_0521-0.25	324
mouse_sample_32-kraken2_standard_0521-0.30	242
mouse_sample_32-kraken2_standard_0521-0.20	434
mouse_sample_32-kraken2_standard_0521-0.10	1246
mouse_sample_32-kraken2_standard_0521-0.40	189
mouse_sample_32-kraken2_standard_0521-0.15	664
mouse_sample_32-kraken2_standard_0521-0.05	3431
mouse_sample_32-kraken2_standard_0521-0.00	7037
mouse_sample_32-kraken2_standard_0521-0.60	134
mouse_sample_32-kraken2_standard_0521-0.85	98
mouse_sample_32-kraken2_standard_0521-0.80	104
mouse_sample_32-kraken2_standard_0521-1.00	68
mouse_sample_32-kraken2_standard_0521-0.70	116
mouse_sample_32-kraken2_standard_0521-0.65	127
mouse_sample_32-kraken2_standard_0521-0.75	110
mouse_sample_32-kraken2_standard_0521-0.95	77
mouse_sample_32-kraken2_standard_0521-0.90	87
strain_sample_43-kraken2_standard_0521-0.10	906
strain_sample_43-kraken2_standard_0521-0.05	1609
strain_sample_43-kraken2_standard_0521-0.00	4986
strain_sample_43-kraken2_standard_0521-0.60	69
strain_sample_43-kraken2_standard_0521-0.55	73
strain_sample_43-kraken2_standard_0521-0.40	97
strain_sample_43-kraken2_standard_0521-0.65	61
strain_sample_43-kraken2_standard_0521-0.45	85
strain_sample_43-kraken2_standard_0521-0.50	77
strain_sample_43-kraken2_standard_0521-0.30	140
strain_sample_43-kraken2_standard_0521-0.25	223
strain_sample_43-kraken2_standard_0521-0.35	114
strain_sample_43-kraken2_standard_0521-0.70	52
strain_sample_43-kraken2_standard_0521-0.15	586
strain_sample_43-kraken2_standard_0521-0.20	379
strain_sample_43-kraken2_standard_0521-0.80	42
strain_sample_43-kraken2_standard_0521-0.95	33
strain_sample_43-kraken2_standard_0521-0.85	41
strain_sample_43-kraken2_standard_0521-1.00	28
strain_sample_43-kraken2_standard_0521-0.75	49
strain_sample_31-kraken2_standard_0521-0.20	362
strain_sample_43-kraken2_standard_0521-0.90	37
strain_sample_31-kraken2_standard_0521-0.15	586
strain_sample_31-kraken2_standard_0521-0.10	851
strain_sample_31-kraken2_standard_0521-0.05	1398
strain_sample_31-kraken2_standard_0521-0.25	245
strain_sample_31-kraken2_standard_0521-0.00	3874
strain_sample_31-kraken2_standard_0521-0.40	109
strain_sample_31-kraken2_standard_0521-0.35	124
strain_sample_31-kraken2_standard_0521-0.60	72
strain_sample_31-kraken2_standard_0521-0.65	67
strain_sample_31-kraken2_standard_0521-0.30	142
strain_sample_31-kraken2_standard_0521-0.85	42
strain_sample_31-kraken2_standard_0521-0.50	90
strain_sample_31-kraken2_standard_0521-0.70	59
strain_sample_31-kraken2_standard_0521-0.80	49
strain_sample_31-kraken2_standard_0521-0.45	97
strain_sample_31-kraken2_standard_0521-0.55	83
strain_sample_31-kraken2_standard_0521-0.75	55
strain_sample_31-kraken2_standard_0521-1.00	25
strain_sample_31-kraken2_standard_0521-0.90	36
strain_sample_31-kraken2_standard_0521-0.95	31
marine_sample_7-kraken2_standard_0521-0.40	572
marine_sample_7-kraken2_standard_0521-0.35	622
marine_sample_7-kraken2_standard_0521-0.30	703
marine_sample_7-kraken2_standard_0521-0.25	871
marine_sample_7-kraken2_standard_0521-0.20	1110
marine_sample_7-kraken2_standard_0521-0.15	1630
marine_sample_7-kraken2_standard_0521-0.10	2551
marine_sample_7-kraken2_standard_0521-0.05	4452
marine_sample_7-kraken2_standard_0521-0.00	6925
marine_sample_7-kraken2_standard_0521-0.85	371
marine_sample_7-kraken2_standard_0521-0.90	354
marine_sample_7-kraken2_standard_0521-0.95	340
marine_sample_7-kraken2_standard_0521-0.70	412
marine_sample_7-kraken2_standard_0521-0.45	540
marine_sample_7-kraken2_standard_0521-0.75	399
marine_sample_7-kraken2_standard_0521-0.55	474
marine_sample_7-kraken2_standard_0521-0.60	448
marine_sample_7-kraken2_standard_0521-0.80	387
marine_sample_7-kraken2_standard_0521-0.50	506
marine_sample_7-kraken2_standard_0521-1.00	332
marine_sample_7-kraken2_standard_0521-0.65	426
mouse_sample_7-kraken2_standard_0521-0.45	214
mouse_sample_7-kraken2_standard_0521-0.50	202
mouse_sample_7-kraken2_standard_0521-0.35	256
mouse_sample_7-kraken2_standard_0521-0.55	189
mouse_sample_7-kraken2_standard_0521-0.40	232
mouse_sample_7-kraken2_standard_0521-0.30	285
mouse_sample_7-kraken2_standard_0521-0.25	379
mouse_sample_7-kraken2_standard_0521-0.20	473
mouse_sample_7-kraken2_standard_0521-0.15	695
mouse_sample_7-kraken2_standard_0521-0.10	1330
mouse_sample_7-kraken2_standard_0521-0.05	3692
mouse_sample_7-kraken2_standard_0521-0.00	7152
mouse_sample_7-kraken2_standard_0521-0.80	131
mouse_sample_7-kraken2_standard_0521-0.65	165
mouse_sample_7-kraken2_standard_0521-0.95	93
mouse_sample_7-kraken2_standard_0521-1.00	84
mouse_sample_7-kraken2_standard_0521-0.70	155
mouse_sample_7-kraken2_standard_0521-0.90	103
mouse_sample_7-kraken2_standard_0521-0.85	118
mouse_sample_7-kraken2_standard_0521-0.60	175
mouse_sample_7-kraken2_standard_0521-0.75	141
strain_sample_6-kraken2_standard_0521-0.10	900
strain_sample_6-kraken2_standard_0521-0.05	1572
strain_sample_6-kraken2_standard_0521-0.00	4638
strain_sample_6-kraken2_standard_0521-0.45	105
strain_sample_6-kraken2_standard_0521-0.60	80
strain_sample_6-kraken2_standard_0521-0.35	143
strain_sample_6-kraken2_standard_0521-0.50	98
strain_sample_6-kraken2_standard_0521-0.40	127
strain_sample_6-kraken2_standard_0521-0.65	73
strain_sample_6-kraken2_standard_0521-0.30	169
strain_sample_6-kraken2_standard_0521-0.20	387
strain_sample_6-kraken2_standard_0521-0.25	248
strain_sample_6-kraken2_standard_0521-0.55	84
strain_sample_6-kraken2_standard_0521-0.70	66
strain_sample_6-kraken2_standard_0521-0.15	607
strain_sample_6-kraken2_standard_0521-0.75	64
strain_sample_6-kraken2_standard_0521-0.80	59
strain_sample_6-kraken2_standard_0521-0.85	54
strain_sample_6-kraken2_standard_0521-1.00	32
strain_sample_6-kraken2_standard_0521-0.95	40
strain_sample_6-kraken2_standard_0521-0.90	51
strain_sample_56-kraken2_standard_0521-0.15	600
strain_sample_56-kraken2_standard_0521-0.20	390
strain_sample_56-kraken2_standard_0521-0.25	259
strain_sample_56-kraken2_standard_0521-0.10	885
strain_sample_56-kraken2_standard_0521-0.05	1506
strain_sample_56-kraken2_standard_0521-0.00	4149
strain_sample_56-kraken2_standard_0521-0.80	55
strain_sample_56-kraken2_standard_0521-0.70	72
strain_sample_56-kraken2_standard_0521-0.35	151
strain_sample_56-kraken2_standard_0521-0.55	102
strain_sample_56-kraken2_standard_0521-0.40	136
strain_sample_56-kraken2_standard_0521-0.30	176
strain_sample_56-kraken2_standard_0521-0.85	44
strain_sample_56-kraken2_standard_0521-0.75	68
strain_sample_56-kraken2_standard_0521-0.50	112
strain_sample_56-kraken2_standard_0521-0.45	123
strain_sample_56-kraken2_standard_0521-0.65	78
strain_sample_56-kraken2_standard_0521-0.60	88
strain_sample_56-kraken2_standard_0521-1.00	32
strain_sample_56-kraken2_standard_0521-0.95	38
strain_sample_56-kraken2_standard_0521-0.90	43
strain_sample_18-kraken2_standard_0521-0.40	120
strain_sample_18-kraken2_standard_0521-0.35	141
strain_sample_18-kraken2_standard_0521-0.30	167
strain_sample_18-kraken2_standard_0521-0.25	257
strain_sample_18-kraken2_standard_0521-0.15	560
strain_sample_18-kraken2_standard_0521-0.20	374
strain_sample_18-kraken2_standard_0521-0.10	849
strain_sample_18-kraken2_standard_0521-0.05	1574
strain_sample_18-kraken2_standard_0521-0.00	5349
strain_sample_18-kraken2_standard_0521-0.55	86
strain_sample_18-kraken2_standard_0521-1.00	31
strain_sample_18-kraken2_standard_0521-0.50	98
strain_sample_18-kraken2_standard_0521-0.70	74
strain_sample_18-kraken2_standard_0521-0.95	37
strain_sample_18-kraken2_standard_0521-0.60	80
strain_sample_18-kraken2_standard_0521-0.45	107
strain_sample_18-kraken2_standard_0521-0.90	46
strain_sample_18-kraken2_standard_0521-0.85	53
strain_sample_18-kraken2_standard_0521-0.65	78
strain_sample_18-kraken2_standard_0521-0.80	62
strain_sample_18-kraken2_standard_0521-0.75	69
strain_sample_24-kraken2_standard_0521-0.55	75
strain_sample_24-kraken2_standard_0521-0.35	112
strain_sample_24-kraken2_standard_0521-0.45	91
