Sample name	L1 distance
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.10	3275824.0
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.20	3707114.0
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.15	3373578.0
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.25	4256009.0
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.05	3344416.0
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.00	3837654.0
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.45	7585820.0
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.55	9181724.0
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.40	6700837.0
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.35	5834669.0
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.50	8320059.0
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.30	5007110.0
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.65	10725985.0
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.70	11379007.0
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.85	12706434.0
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.60	9988123.0
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.75	11868679.0
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.80	12362597.0
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.95	13107802.0
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.90	12940958.0
strain_sample_81-kraken2_GTDBr202RefSeqV205-1.00	13218599.0
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.10	1567631.0
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.05	1511206.0
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.00	1856573.0
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.30	4074892.0
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.25	3378264.0
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.20	2767188.0
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.40	5632304.0
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.35	4747287.0
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.15	2099070.0
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.65	10197625.0
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.55	8408633.0
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.70	10969437.0
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.60	9337385.0
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.45	6616039.0
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.50	7437350.0
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.90	12849751.0
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.95	13049041.0
strain_sample_14-kraken2_GTDBr202RefSeqV205-1.00	13172651.0
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.80	12138675.0
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.85	12566144.0
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.75	11546657.0
mouse_sample_0-kraken2_GTDBr202RefSeqV205-0.25	42579751.0
