Sample name	F1 score reads
strain_sample_87-kraken2_chocophlan-0.50	0.7058173999635373
strain_sample_87-kraken2_chocophlan-0.55	0.6457678695457063
strain_sample_87-kraken2_chocophlan-0.25	0.8412632926665444
strain_sample_87-kraken2_chocophlan-0.30	0.8195595665639462
strain_sample_87-kraken2_chocophlan-0.40	0.7960465673660809
strain_sample_87-kraken2_chocophlan-0.35	0.8085745909432341
strain_sample_87-kraken2_chocophlan-0.45	0.7516192702640339
strain_sample_87-kraken2_chocophlan-0.20	0.8603041307969482
strain_sample_87-kraken2_chocophlan-0.10	0.8717770008941149
strain_sample_87-kraken2_chocophlan-0.15	0.8722913773150918
strain_sample_87-kraken2_chocophlan-0.05	0.8562295464773824
strain_sample_87-kraken2_chocophlan-0.00	0.8156286444641938
strain_sample_87-kraken2_chocophlan-0.70	0.43622149340515354
strain_sample_87-kraken2_chocophlan-0.80	0.26590697669288166
strain_sample_87-kraken2_chocophlan-0.60	0.5801921385161848
strain_sample_87-kraken2_chocophlan-0.75	0.3605096753385579
strain_sample_87-kraken2_chocophlan-0.65	0.5104734353564876
strain_sample_87-kraken2_chocophlan-0.90	0.12900502108795175
strain_sample_87-kraken2_chocophlan-0.95	0.08114600148341873
strain_sample_87-kraken2_chocophlan-0.85	0.18715108277873194
strain_sample_87-kraken2_chocophlan-1.00	0.047326227880791175
strain_sample_74-kraken2_chocophlan-0.10	0.9176952702758503
strain_sample_74-kraken2_chocophlan-0.05	0.9096802435147111
strain_sample_74-kraken2_chocophlan-0.00	0.8891394253138697
strain_sample_74-kraken2_chocophlan-0.50	0.7314013071486866
strain_sample_74-kraken2_chocophlan-0.35	0.8562940289737048
strain_sample_74-kraken2_chocophlan-0.60	0.6066602712706343
strain_sample_74-kraken2_chocophlan-0.55	0.676763337250847
strain_sample_74-kraken2_chocophlan-0.45	0.7721194694871213
strain_sample_74-kraken2_chocophlan-0.40	0.816286020355586
strain_sample_74-kraken2_chocophlan-0.15	0.9204075928114316
strain_sample_74-kraken2_chocophlan-0.65	0.530330901321362
