Sample name	Simpson's diversity
strain_sample_40-kraken2_minikraken-0.55	0.0
strain_sample_40-kraken2_minikraken-0.20	0.7012757521306073
strain_sample_40-kraken2_minikraken-0.30	0.7030100765538025
strain_sample_40-kraken2_minikraken-0.10	0.7100202103942945
strain_sample_40-kraken2_minikraken-0.15	0.7058275916512438
strain_sample_40-kraken2_minikraken-0.50	0.6753941225029996
strain_sample_40-kraken2_minikraken-0.00	0.7326910365079309
strain_sample_40-kraken2_minikraken-0.25	0.7008704328373165
strain_sample_40-kraken2_minikraken-0.35	0.6914381142089022
strain_sample_40-kraken2_minikraken-0.45	0.7033120444267311
strain_sample_40-kraken2_minikraken-0.40	0.674350947462385
strain_sample_40-kraken2_minikraken-0.05	0.7178260125471139
strain_sample_40-kraken2_minikraken-1.00	nan
strain_sample_40-kraken2_minikraken-0.90	nan
strain_sample_40-kraken2_minikraken-0.70	nan
strain_sample_39-kraken2_minikraken-0.10	0.6295728951399606
strain_sample_40-kraken2_minikraken-0.60	nan
strain_sample_40-kraken2_minikraken-0.75	nan
strain_sample_39-kraken2_minikraken-0.05	0.6396338286120777
strain_sample_40-kraken2_minikraken-0.95	nan
strain_sample_39-kraken2_minikraken-0.00	0.6618648995736243
strain_sample_40-kraken2_minikraken-0.65	nan
strain_sample_40-kraken2_minikraken-0.85	nan
strain_sample_40-kraken2_minikraken-0.80	nan
strain_sample_39-kraken2_minikraken-0.25	0.6141981726667285
strain_sample_39-kraken2_minikraken-0.70	nan
strain_sample_39-kraken2_minikraken-0.35	0.5879496411352103
strain_sample_39-kraken2_minikraken-0.15	0.6237641686963824
strain_sample_39-kraken2_minikraken-0.20	0.6170115726697382
strain_sample_39-kraken2_minikraken-0.55	0.490234375
strain_sample_39-kraken2_minikraken-0.60	nan
strain_sample_39-kraken2_minikraken-0.65	nan
strain_sample_39-kraken2_minikraken-0.40	0.5803656359061764
strain_sample_39-kraken2_minikraken-0.30	0.6086585389066963
strain_sample_39-kraken2_minikraken-0.50	0.5794672214093517
strain_sample_39-kraken2_minikraken-0.45	0.5804747516484177
strain_sample_39-kraken2_minikraken-0.85	nan
strain_sample_32-kraken2_minikraken-0.20	0.6994355996848864
strain_sample_32-kraken2_minikraken-0.25	0.69496460614543
strain_sample_32-kraken2_minikraken-0.05	0.7184494064055332
strain_sample_39-kraken2_minikraken-0.75	nan
strain_sample_32-kraken2_minikraken-0.15	0.703736760698453
strain_sample_32-kraken2_minikraken-0.10	0.7116786312583475
strain_sample_39-kraken2_minikraken-1.00	nan
strain_sample_39-kraken2_minikraken-0.95	nan
strain_sample_39-kraken2_minikraken-0.80	nan
strain_sample_39-kraken2_minikraken-0.90	nan
strain_sample_32-kraken2_minikraken-0.00	0.7309573091194217
strain_sample_32-kraken2_minikraken-0.50	0.6850939446119954
strain_sample_32-kraken2_minikraken-0.45	0.679271109505418
strain_sample_32-kraken2_minikraken-0.85	nan
strain_sample_32-kraken2_minikraken-0.55	0.6477627471383975
strain_sample_32-kraken2_minikraken-0.70	nan
strain_sample_32-kraken2_minikraken-0.60	nan
strain_sample_32-kraken2_minikraken-0.35	0.6848477975294194
strain_sample_32-kraken2_minikraken-0.65	nan
strain_sample_32-kraken2_minikraken-0.80	nan
strain_sample_32-kraken2_minikraken-0.75	nan
strain_sample_32-kraken2_minikraken-0.30	0.6915185770952461
strain_sample_32-kraken2_minikraken-0.40	0.6763584979023222
strain_sample_32-kraken2_minikraken-0.95	nan
strain_sample_32-kraken2_minikraken-1.00	nan
strain_sample_32-kraken2_minikraken-0.90	nan
mouse_sample_14-kraken2_minikraken-0.10	0.7879776056306846
mouse_sample_14-kraken2_minikraken-0.15	0.8202700900579976
mouse_sample_14-kraken2_minikraken-0.20	0.8467359763021161
mouse_sample_14-kraken2_minikraken-0.05	0.7553622885480769
mouse_sample_14-kraken2_minikraken-0.30	0.8786788454447709
mouse_sample_14-kraken2_minikraken-0.25	0.863967088886769
mouse_sample_14-kraken2_minikraken-0.35	0.8879071053145647
mouse_sample_14-kraken2_minikraken-0.40	0.8898875186540846
mouse_sample_14-kraken2_minikraken-0.00	0.7470089527513633
mouse_sample_14-kraken2_minikraken-0.45	0.8861790614240961
mouse_sample_14-kraken2_minikraken-0.55	0.7704081632653061
mouse_sample_14-kraken2_minikraken-0.65	nan
mouse_sample_14-kraken2_minikraken-0.60	nan
mouse_sample_14-kraken2_minikraken-0.70	nan
mouse_sample_14-kraken2_minikraken-0.95	nan
mouse_sample_14-kraken2_minikraken-0.90	nan
mouse_sample_14-kraken2_minikraken-0.85	nan
mouse_sample_14-kraken2_minikraken-0.75	nan
mouse_sample_14-kraken2_minikraken-1.00	nan
mouse_sample_14-kraken2_minikraken-0.50	0.8669310816600102
mouse_sample_14-kraken2_minikraken-0.80	nan
plant_sample_20-kraken2_minikraken-0.30	0.6690664941545431
plant_sample_20-kraken2_minikraken-0.20	0.7259460283233861
plant_sample_20-kraken2_minikraken-0.10	0.8187370847501078
plant_sample_20-kraken2_minikraken-0.15	0.7661640087717365
plant_sample_20-kraken2_minikraken-0.25	0.6974580231068157
plant_sample_20-kraken2_minikraken-0.50	0.5396841478704677
plant_sample_20-kraken2_minikraken-0.45	0.5877433622393249
plant_sample_20-kraken2_minikraken-0.40	0.6169977043311734
plant_sample_20-kraken2_minikraken-0.55	0.5290138839444642
plant_sample_20-kraken2_minikraken-0.35	0.640050425376369
plant_sample_20-kraken2_minikraken-0.00	0.9237553012624142
plant_sample_20-kraken2_minikraken-0.05	0.8763946246572198
plant_sample_20-kraken2_minikraken-0.70	0.0
plant_sample_20-kraken2_minikraken-0.65	0.0
plant_sample_20-kraken2_minikraken-0.80	0.0
