Sample name	Precision reads
strain_sample_98-kraken2_refseqV205_100GB-0.10	0.9546606904522751
strain_sample_98-kraken2_refseqV205_100GB-0.25	0.9930313588850174
strain_sample_98-kraken2_refseqV205_100GB-0.15	0.991450476850746
strain_sample_98-kraken2_refseqV205_100GB-0.20	0.9910553450524877
strain_sample_98-kraken2_refseqV205_100GB-0.05	0.9216597044809979
strain_sample_98-kraken2_refseqV205_100GB-0.00	0.9188877069520293
strain_sample_98-kraken2_refseqV205_100GB-0.35	1.0
strain_sample_98-kraken2_refseqV205_100GB-0.55	0
strain_sample_98-kraken2_refseqV205_100GB-0.50	0
strain_sample_98-kraken2_refseqV205_100GB-0.40	0
strain_sample_98-kraken2_refseqV205_100GB-0.45	0
strain_sample_98-kraken2_refseqV205_100GB-0.30	1.0
strain_sample_98-kraken2_refseqV205_100GB-0.60	0
strain_sample_98-kraken2_refseqV205_100GB-0.65	0
strain_sample_98-kraken2_refseqV205_100GB-0.75	0
strain_sample_98-kraken2_refseqV205_100GB-0.70	0
strain_sample_98-kraken2_refseqV205_100GB-0.85	0
strain_sample_98-kraken2_refseqV205_100GB-0.80	0
strain_sample_98-kraken2_refseqV205_100GB-1.00	0
strain_sample_98-kraken2_refseqV205_100GB-0.95	0
strain_sample_98-kraken2_refseqV205_100GB-0.90	0
mouse_sample_22-kraken2_refseqV205_100GB-0.10	0.6815463424043148
mouse_sample_22-kraken2_refseqV205_100GB-0.05	0.6761472026896814
mouse_sample_22-kraken2_refseqV205_100GB-0.00	0.914789936572566
mouse_sample_22-kraken2_refseqV205_100GB-0.40	1.0
mouse_sample_22-kraken2_refseqV205_100GB-0.20	0.6720170411928835
mouse_sample_22-kraken2_refseqV205_100GB-0.25	0.6786069651741293
mouse_sample_22-kraken2_refseqV205_100GB-0.30	0.7265238879736409
mouse_sample_22-kraken2_refseqV205_100GB-0.15	0.6777222774494489
mouse_sample_22-kraken2_refseqV205_100GB-0.35	0.7733333333333333
mouse_sample_22-kraken2_refseqV205_100GB-0.45	0
mouse_sample_22-kraken2_refseqV205_100GB-0.50	0
mouse_sample_22-kraken2_refseqV205_100GB-0.55	0
mouse_sample_22-kraken2_refseqV205_100GB-0.60	0
mouse_sample_22-kraken2_refseqV205_100GB-0.65	0
mouse_sample_22-kraken2_refseqV205_100GB-0.70	0
mouse_sample_22-kraken2_refseqV205_100GB-0.95	0
mouse_sample_22-kraken2_refseqV205_100GB-0.90	0
mouse_sample_22-kraken2_refseqV205_100GB-0.75	0
mouse_sample_22-kraken2_refseqV205_100GB-0.85	0
mouse_sample_22-kraken2_refseqV205_100GB-0.80	0
mouse_sample_22-kraken2_refseqV205_100GB-1.00	0
plant_sample_14-kraken2_refseqV205_100GB-0.25	1.0
plant_sample_14-kraken2_refseqV205_100GB-0.10	0.9989338652239721
plant_sample_14-kraken2_refseqV205_100GB-0.15	0.999304121682197
