Sample name	Recall reads
strain_sample_98-kraken2_refseqV205_100GB-0.10	0.1250991302978552
strain_sample_98-kraken2_refseqV205_100GB-0.25	0.000535281070267642
strain_sample_98-kraken2_refseqV205_100GB-0.15	0.025570207690557806
strain_sample_98-kraken2_refseqV205_100GB-0.20	0.0035959618846822016
strain_sample_98-kraken2_refseqV205_100GB-0.05	0.4055731887365744
strain_sample_98-kraken2_refseqV205_100GB-0.00	0.855533311235929
strain_sample_98-kraken2_refseqV205_100GB-0.35	7.512716775686205e-08
strain_sample_98-kraken2_refseqV205_100GB-0.50	0
strain_sample_98-kraken2_refseqV205_100GB-0.55	0
strain_sample_98-kraken2_refseqV205_100GB-0.45	0
strain_sample_98-kraken2_refseqV205_100GB-0.40	0
strain_sample_98-kraken2_refseqV205_100GB-0.30	4.282248562141136e-05
strain_sample_98-kraken2_refseqV205_100GB-0.60	0
strain_sample_98-kraken2_refseqV205_100GB-0.65	0
strain_sample_98-kraken2_refseqV205_100GB-0.75	0
strain_sample_98-kraken2_refseqV205_100GB-0.70	0
strain_sample_98-kraken2_refseqV205_100GB-0.85	0
strain_sample_98-kraken2_refseqV205_100GB-0.80	0
strain_sample_98-kraken2_refseqV205_100GB-1.00	0
strain_sample_98-kraken2_refseqV205_100GB-0.95	0
strain_sample_98-kraken2_refseqV205_100GB-0.90	0
mouse_sample_22-kraken2_refseqV205_100GB-0.10	0.07830163949687001
mouse_sample_22-kraken2_refseqV205_100GB-0.05	0.27245099102209924
mouse_sample_22-kraken2_refseqV205_100GB-0.00	0.4527239344076169
mouse_sample_22-kraken2_refseqV205_100GB-0.40	3.0068056640761836e-08
mouse_sample_22-kraken2_refseqV205_100GB-0.20	0.002020483202089273
mouse_sample_22-kraken2_refseqV205_100GB-0.25	0.00030759621943499355
mouse_sample_22-kraken2_refseqV205_100GB-0.30	2.652002595715194e-05
mouse_sample_22-kraken2_refseqV205_100GB-0.15	0.01492322753165971
mouse_sample_22-kraken2_refseqV205_100GB-0.35	1.7439472851641864e-06
mouse_sample_22-kraken2_refseqV205_100GB-0.45	0
mouse_sample_22-kraken2_refseqV205_100GB-0.50	0
mouse_sample_22-kraken2_refseqV205_100GB-0.55	0
mouse_sample_22-kraken2_refseqV205_100GB-0.60	0
mouse_sample_22-kraken2_refseqV205_100GB-0.65	0
mouse_sample_22-kraken2_refseqV205_100GB-0.70	0
mouse_sample_22-kraken2_refseqV205_100GB-0.95	0
mouse_sample_22-kraken2_refseqV205_100GB-0.90	0
mouse_sample_22-kraken2_refseqV205_100GB-0.75	0
mouse_sample_22-kraken2_refseqV205_100GB-0.85	0
mouse_sample_22-kraken2_refseqV205_100GB-0.80	0
mouse_sample_22-kraken2_refseqV205_100GB-1.00	0
plant_sample_14-kraken2_refseqV205_100GB-0.10	0.06799450112102977
plant_sample_14-kraken2_refseqV205_100GB-0.25	0.00020629206414734036
plant_sample_14-kraken2_refseqV205_100GB-0.15	0.0118186309487837
plant_sample_14-kraken2_refseqV205_100GB-0.20	0.0014852548031388593
plant_sample_14-kraken2_refseqV205_100GB-0.05	0.2594364802464836
plant_sample_14-kraken2_refseqV205_100GB-0.00	0.4664597878856217
plant_sample_14-kraken2_refseqV205_100GB-0.45	0
plant_sample_14-kraken2_refseqV205_100GB-0.40	0
plant_sample_14-kraken2_refseqV205_100GB-0.55	0
plant_sample_14-kraken2_refseqV205_100GB-0.50	0
plant_sample_14-kraken2_refseqV205_100GB-0.35	5.10623921156783e-07
plant_sample_14-kraken2_refseqV205_100GB-0.30	1.4327506493634441e-05
plant_sample_14-kraken2_refseqV205_100GB-0.60	0
plant_sample_14-kraken2_refseqV205_100GB-0.85	0
plant_sample_14-kraken2_refseqV205_100GB-0.75	0
plant_sample_14-kraken2_refseqV205_100GB-0.70	0
plant_sample_14-kraken2_refseqV205_100GB-0.65	0
plant_sample_14-kraken2_refseqV205_100GB-0.80	0
plant_sample_14-kraken2_refseqV205_100GB-0.90	0
plant_sample_14-kraken2_refseqV205_100GB-0.95	0
strain_sample_82-kraken2_refseqV205_100GB-0.10	0.1269551777713108
plant_sample_14-kraken2_refseqV205_100GB-1.00	0
strain_sample_82-kraken2_refseqV205_100GB-0.05	0.40970384175070407
strain_sample_82-kraken2_refseqV205_100GB-0.00	0.8428056312486922
strain_sample_82-kraken2_refseqV205_100GB-0.20	0.003668795561188782
strain_sample_82-kraken2_refseqV205_100GB-0.15	0.025735683174317618
strain_sample_82-kraken2_refseqV205_100GB-0.25	0.0005615104608850205
strain_sample_82-kraken2_refseqV205_100GB-0.40	0
strain_sample_82-kraken2_refseqV205_100GB-0.35	0
strain_sample_82-kraken2_refseqV205_100GB-0.30	3.810544822228689e-05
strain_sample_82-kraken2_refseqV205_100GB-0.65	0
strain_sample_82-kraken2_refseqV205_100GB-0.55	0
strain_sample_82-kraken2_refseqV205_100GB-0.70	0
strain_sample_82-kraken2_refseqV205_100GB-0.60	0
strain_sample_82-kraken2_refseqV205_100GB-0.45	0
strain_sample_82-kraken2_refseqV205_100GB-0.50	0
strain_sample_82-kraken2_refseqV205_100GB-1.00	0
strain_sample_82-kraken2_refseqV205_100GB-0.90	0
strain_sample_82-kraken2_refseqV205_100GB-0.80	0
strain_sample_82-kraken2_refseqV205_100GB-0.85	0
strain_sample_82-kraken2_refseqV205_100GB-0.75	0
strain_sample_82-kraken2_refseqV205_100GB-0.95	0
mouse_sample_38-kraken2_refseqV205_100GB-0.15	0.004302343654373823
mouse_sample_38-kraken2_refseqV205_100GB-0.25	8.380073613266564e-05
mouse_sample_38-kraken2_refseqV205_100GB-0.20	0.0005562307760779845
mouse_sample_38-kraken2_refseqV205_100GB-0.10	0.022705961628363112
mouse_sample_38-kraken2_refseqV205_100GB-0.05	0.07991368976177991
mouse_sample_38-kraken2_refseqV205_100GB-0.00	0.3527954340561732
mouse_sample_38-kraken2_refseqV205_100GB-0.45	0
mouse_sample_38-kraken2_refseqV205_100GB-0.40	0
mouse_sample_38-kraken2_refseqV205_100GB-0.50	0
mouse_sample_38-kraken2_refseqV205_100GB-0.55	0
mouse_sample_38-kraken2_refseqV205_100GB-0.30	6.508795039430341e-06
mouse_sample_38-kraken2_refseqV205_100GB-0.35	6.930661384578603e-07
mouse_sample_38-kraken2_refseqV205_100GB-0.60	0
mouse_sample_38-kraken2_refseqV205_100GB-0.65	0
mouse_sample_38-kraken2_refseqV205_100GB-0.70	0
mouse_sample_38-kraken2_refseqV205_100GB-0.80	0
mouse_sample_38-kraken2_refseqV205_100GB-0.75	0
mouse_sample_38-kraken2_refseqV205_100GB-0.85	0
mouse_sample_38-kraken2_refseqV205_100GB-0.90	0
mouse_sample_38-kraken2_refseqV205_100GB-1.00	0
mouse_sample_38-kraken2_refseqV205_100GB-0.95	0
plant_sample_2-kraken2_refseqV205_100GB-0.10	0.09154194578058686
plant_sample_2-kraken2_refseqV205_100GB-0.05	0.3277851871246461
plant_sample_2-kraken2_refseqV205_100GB-0.00	0.5332706179315072
plant_sample_2-kraken2_refseqV205_100GB-0.15	0.017269316496174147
