Sample name	Number of taxa
strain_sample_41-kraken2_refseqV205-0.20	896
strain_sample_41-kraken2_refseqV205-0.25	432
strain_sample_41-kraken2_refseqV205-0.30	148
strain_sample_41-kraken2_refseqV205-0.15	1545
strain_sample_41-kraken2_refseqV205-0.05	6252
strain_sample_41-kraken2_refseqV205-0.35	112
strain_sample_41-kraken2_refseqV205-0.50	77
strain_sample_41-kraken2_refseqV205-0.45	83
strain_sample_41-kraken2_refseqV205-0.40	94
strain_sample_41-kraken2_refseqV205-0.10	2532
strain_sample_41-kraken2_refseqV205-0.55	72
strain_sample_41-kraken2_refseqV205-0.00	26724
strain_sample_41-kraken2_refseqV205-0.80	42
strain_sample_41-kraken2_refseqV205-0.60	70
strain_sample_41-kraken2_refseqV205-0.85	36
strain_sample_41-kraken2_refseqV205-0.75	48
strain_sample_41-kraken2_refseqV205-0.65	65
strain_sample_41-kraken2_refseqV205-0.70	59
strain_sample_41-kraken2_refseqV205-0.95	25
strain_sample_41-kraken2_refseqV205-0.90	32
strain_sample_41-kraken2_refseqV205-1.00	20
strain_sample_38-kraken2_refseqV205-0.10	2605
strain_sample_38-kraken2_refseqV205-0.05	6068
strain_sample_38-kraken2_refseqV205-0.00	26384
strain_sample_38-kraken2_refseqV205-0.45	80
strain_sample_38-kraken2_refseqV205-0.40	89
strain_sample_38-kraken2_refseqV205-0.70	46
strain_sample_38-kraken2_refseqV205-0.30	135
strain_sample_38-kraken2_refseqV205-0.35	102
strain_sample_38-kraken2_refseqV205-0.50	69
strain_sample_38-kraken2_refseqV205-0.60	53
strain_sample_38-kraken2_refseqV205-0.25	433
strain_sample_38-kraken2_refseqV205-0.55	61
strain_sample_38-kraken2_refseqV205-0.65	51
strain_sample_38-kraken2_refseqV205-0.20	876
strain_sample_38-kraken2_refseqV205-0.15	1556
strain_sample_38-kraken2_refseqV205-0.75	40
strain_sample_38-kraken2_refseqV205-0.90	27
strain_sample_38-kraken2_refseqV205-0.80	38
strain_sample_33-kraken2_refseqV205-0.25	447
strain_sample_33-kraken2_refseqV205-0.20	900
strain_sample_38-kraken2_refseqV205-0.85	30
strain_sample_38-kraken2_refseqV205-0.95	25
strain_sample_38-kraken2_refseqV205-1.00	16
strain_sample_33-kraken2_refseqV205-0.15	1565
strain_sample_33-kraken2_refseqV205-0.10	2581
strain_sample_33-kraken2_refseqV205-0.05	6090
strain_sample_33-kraken2_refseqV205-0.00	26579
strain_sample_33-kraken2_refseqV205-0.35	131
strain_sample_33-kraken2_refseqV205-0.55	73
strain_sample_33-kraken2_refseqV205-0.40	113
strain_sample_33-kraken2_refseqV205-0.45	95
strain_sample_33-kraken2_refseqV205-0.65	65
