Sample name	Bray-Curtis dissimilarity relative abundance
mouse_sample_13-kraken2_refseqV208_nt-0.20	1.0
mouse_sample_13-kraken2_refseqV208_nt-0.15	1.0
mouse_sample_13-kraken2_refseqV208_nt-0.25	1.0
mouse_sample_13-kraken2_refseqV208_nt-0.05	1.0
mouse_sample_13-kraken2_refseqV208_nt-0.10	1.0
mouse_sample_13-kraken2_refseqV208_nt-0.00	1.0
mouse_sample_13-kraken2_refseqV208_nt-0.55	1.0
mouse_sample_13-kraken2_refseqV208_nt-0.50	1.0
mouse_sample_13-kraken2_refseqV208_nt-0.35	1.0
mouse_sample_13-kraken2_refseqV208_nt-0.45	1.0
mouse_sample_13-kraken2_refseqV208_nt-0.40	1.0
mouse_sample_13-kraken2_refseqV208_nt-0.30	1.0
mouse_sample_13-kraken2_refseqV208_nt-0.75	1.0
mouse_sample_13-kraken2_refseqV208_nt-0.80	1.0
mouse_sample_13-kraken2_refseqV208_nt-0.85	1.0
mouse_sample_13-kraken2_refseqV208_nt-0.70	1.0
mouse_sample_13-kraken2_refseqV208_nt-0.65	1.0
mouse_sample_13-kraken2_refseqV208_nt-0.60	1.0
mouse_sample_13-kraken2_refseqV208_nt-0.95	1.0
mouse_sample_13-kraken2_refseqV208_nt-0.90	1.0
mouse_sample_13-kraken2_refseqV208_nt-1.00	1.0
mouse_sample_61-kraken2_refseqV208_nt-0.10	1.0
mouse_sample_61-kraken2_refseqV208_nt-0.05	1.0
mouse_sample_61-kraken2_refseqV208_nt-0.00	1.0
mouse_sample_61-kraken2_refseqV208_nt-0.35	1.0
mouse_sample_61-kraken2_refseqV208_nt-0.40	1.0
mouse_sample_61-kraken2_refseqV208_nt-0.30	1.0
mouse_sample_61-kraken2_refseqV208_nt-0.25	1.0
mouse_sample_61-kraken2_refseqV208_nt-0.15	1.0
mouse_sample_61-kraken2_refseqV208_nt-0.20	1.0
mouse_sample_61-kraken2_refseqV208_nt-0.45	1.0
mouse_sample_61-kraken2_refseqV208_nt-0.60	1.0
mouse_sample_61-kraken2_refseqV208_nt-0.70	1.0
mouse_sample_61-kraken2_refseqV208_nt-0.50	1.0
mouse_sample_61-kraken2_refseqV208_nt-0.55	1.0
mouse_sample_61-kraken2_refseqV208_nt-0.65	1.0
mouse_sample_61-kraken2_refseqV208_nt-1.00	1.0
mouse_sample_61-kraken2_refseqV208_nt-0.90	1.0
mouse_sample_61-kraken2_refseqV208_nt-0.80	1.0
mouse_sample_61-kraken2_refseqV208_nt-0.85	1.0
mouse_sample_61-kraken2_refseqV208_nt-0.95	1.0
mouse_sample_61-kraken2_refseqV208_nt-0.75	1.0
strain_sample_86-kraken2_refseqV208_nt-0.20	0.12664918491436117
strain_sample_86-kraken2_refseqV208_nt-0.25	0.13792733487332015
strain_sample_86-kraken2_refseqV208_nt-0.10	0.11073429910520552
strain_sample_86-kraken2_refseqV208_nt-0.15	0.11581406124104313
strain_sample_86-kraken2_refseqV208_nt-0.05	0.11142240768674658
strain_sample_86-kraken2_refseqV208_nt-0.00	0.1351461396182642
strain_sample_86-kraken2_refseqV208_nt-0.35	0.16005253838966746
strain_sample_86-kraken2_refseqV208_nt-0.55	0.1903042246869736
strain_sample_86-kraken2_refseqV208_nt-0.30	0.15082732435954171
strain_sample_86-kraken2_refseqV208_nt-0.50	0.17998851325449103
strain_sample_86-kraken2_refseqV208_nt-0.45	0.17480200385682518
strain_sample_86-kraken2_refseqV208_nt-0.40	0.16779361289229008
strain_sample_86-kraken2_refseqV208_nt-0.60	0.20096839291865218
strain_sample_86-kraken2_refseqV208_nt-0.75	0.23387370229326568
strain_sample_86-kraken2_refseqV208_nt-0.65	0.21230495227862758
strain_sample_86-kraken2_refseqV208_nt-0.70	0.22405107568497812
strain_sample_86-kraken2_refseqV208_nt-0.80	0.24106075930934293
strain_sample_86-kraken2_refseqV208_nt-0.85	0.248161196314175
strain_sample_86-kraken2_refseqV208_nt-0.90	0.260139916647656
strain_sample_86-kraken2_refseqV208_nt-0.95	0.27869603209027966
strain_sample_86-kraken2_refseqV208_nt-1.00	0.3247625651055224
plant_sample_5-kraken2_refseqV208_nt-0.10	0.6982306393073742
