Sample name	Chao1 richness
plant_sample_12-kraken2_refseqV208_nt-0.20	371.1290322580645
plant_sample_12-kraken2_refseqV208_nt-0.25	281.0
plant_sample_12-kraken2_refseqV208_nt-0.15	720.5681818181818
plant_sample_12-kraken2_refseqV208_nt-0.10	1237.578947368421
plant_sample_12-kraken2_refseqV208_nt-0.05	2537.983870967742
plant_sample_12-kraken2_refseqV208_nt-0.00	10519.512338425382
plant_sample_12-kraken2_refseqV208_nt-0.45	176.75
plant_sample_12-kraken2_refseqV208_nt-0.40	175.25
plant_sample_12-kraken2_refseqV208_nt-0.50	153.0
plant_sample_12-kraken2_refseqV208_nt-0.30	226.2
plant_sample_12-kraken2_refseqV208_nt-0.35	184.125
plant_sample_12-kraken2_refseqV208_nt-0.55	113.2
plant_sample_12-kraken2_refseqV208_nt-0.80	74.0
plant_sample_12-kraken2_refseqV208_nt-0.70	99.0
plant_sample_12-kraken2_refseqV208_nt-0.75	78.75
plant_sample_12-kraken2_refseqV208_nt-0.65	103.0
plant_sample_12-kraken2_refseqV208_nt-0.60	99.11111111111111
plant_sample_12-kraken2_refseqV208_nt-0.85	59.0
plant_sample_12-kraken2_refseqV208_nt-0.90	50.0
plant_sample_12-kraken2_refseqV208_nt-0.95	45.0
plant_sample_12-kraken2_refseqV208_nt-1.00	40.0
strain_sample_10-kraken2_refseqV208_nt-0.10	523.6896551724137
strain_sample_10-kraken2_refseqV208_nt-0.05	1230.568345323741
strain_sample_10-kraken2_refseqV208_nt-0.00	5382.671378091873
strain_sample_10-kraken2_refseqV208_nt-0.40	33.5
strain_sample_10-kraken2_refseqV208_nt-0.35	40.75
strain_sample_10-kraken2_refseqV208_nt-0.25	81.16666666666667
strain_sample_10-kraken2_refseqV208_nt-0.30	45.0
strain_sample_10-kraken2_refseqV208_nt-0.20	160.6
strain_sample_10-kraken2_refseqV208_nt-0.15	288.1764705882353
strain_sample_10-kraken2_refseqV208_nt-0.50	25.0
strain_sample_10-kraken2_refseqV208_nt-0.45	27.0
strain_sample_10-kraken2_refseqV208_nt-0.60	25.0
strain_sample_10-kraken2_refseqV208_nt-0.65	25.0
strain_sample_10-kraken2_refseqV208_nt-0.55	25.0
strain_sample_10-kraken2_refseqV208_nt-0.70	22.0
strain_sample_10-kraken2_refseqV208_nt-0.80	20.0
strain_sample_10-kraken2_refseqV208_nt-0.95	16.0
strain_sample_10-kraken2_refseqV208_nt-0.85	18.0
strain_sample_10-kraken2_refseqV208_nt-0.90	17.0
strain_sample_10-kraken2_refseqV208_nt-0.75	21.0
strain_sample_10-kraken2_refseqV208_nt-1.00	16.0
mouse_sample_1-kraken2_refseqV208_nt-0.15	278.0
mouse_sample_1-kraken2_refseqV208_nt-0.20	195.27272727272728
mouse_sample_1-kraken2_refseqV208_nt-0.10	651.4716981132076
mouse_sample_1-kraken2_refseqV208_nt-0.25	141.66666666666666
mouse_sample_1-kraken2_refseqV208_nt-0.05	2326.1572327044023
mouse_sample_1-kraken2_refseqV208_nt-0.00	13042.889361702128
mouse_sample_1-kraken2_refseqV208_nt-0.55	74.6
mouse_sample_1-kraken2_refseqV208_nt-0.40	88.0
mouse_sample_1-kraken2_refseqV208_nt-0.30	109.0
mouse_sample_1-kraken2_refseqV208_nt-0.35	98.5
mouse_sample_1-kraken2_refseqV208_nt-0.45	86.5
mouse_sample_1-kraken2_refseqV208_nt-0.50	80.14285714285714
mouse_sample_1-kraken2_refseqV208_nt-0.85	50.5
mouse_sample_1-kraken2_refseqV208_nt-0.75	60.333333333333336
mouse_sample_1-kraken2_refseqV208_nt-0.60	75.0
mouse_sample_1-kraken2_refseqV208_nt-0.80	54.5
mouse_sample_1-kraken2_refseqV208_nt-0.70	61.5
mouse_sample_1-kraken2_refseqV208_nt-0.65	66.33333333333333
