Sample name	Number of taxa
plant_sample_12-kraken2_refseqV208_nt-0.05	2292
plant_sample_12-kraken2_refseqV208_nt-0.20	330
plant_sample_12-kraken2_refseqV208_nt-0.15	561
plant_sample_12-kraken2_refseqV208_nt-0.10	1026
plant_sample_12-kraken2_refseqV208_nt-0.35	171
plant_sample_12-kraken2_refseqV208_nt-0.30	201
plant_sample_12-kraken2_refseqV208_nt-0.40	149
plant_sample_12-kraken2_refseqV208_nt-0.55	106
plant_sample_12-kraken2_refseqV208_nt-0.50	123
plant_sample_12-kraken2_refseqV208_nt-0.45	134
plant_sample_12-kraken2_refseqV208_nt-0.25	250
plant_sample_12-kraken2_refseqV208_nt-0.00	7690
plant_sample_12-kraken2_refseqV208_nt-0.90	49
plant_sample_12-kraken2_refseqV208_nt-0.80	69
plant_sample_12-kraken2_refseqV208_nt-0.95	45
plant_sample_12-kraken2_refseqV208_nt-0.60	98
plant_sample_12-kraken2_refseqV208_nt-1.00	40
strain_sample_10-kraken2_refseqV208_nt-0.05	1012
plant_sample_12-kraken2_refseqV208_nt-0.85	57
plant_sample_12-kraken2_refseqV208_nt-0.70	87
plant_sample_12-kraken2_refseqV208_nt-0.65	91
plant_sample_12-kraken2_refseqV208_nt-0.75	75
strain_sample_10-kraken2_refseqV208_nt-0.10	353
strain_sample_10-kraken2_refseqV208_nt-0.00	4167
strain_sample_10-kraken2_refseqV208_nt-0.15	204
strain_sample_10-kraken2_refseqV208_nt-0.35	40
strain_sample_10-kraken2_refseqV208_nt-0.25	72
strain_sample_10-kraken2_refseqV208_nt-0.40	33
strain_sample_10-kraken2_refseqV208_nt-0.30	44
strain_sample_10-kraken2_refseqV208_nt-0.65	25
strain_sample_10-kraken2_refseqV208_nt-0.60	25
strain_sample_10-kraken2_refseqV208_nt-0.55	25
strain_sample_10-kraken2_refseqV208_nt-0.20	110
strain_sample_10-kraken2_refseqV208_nt-0.50	25
strain_sample_10-kraken2_refseqV208_nt-0.70	22
strain_sample_10-kraken2_refseqV208_nt-0.45	27
strain_sample_10-kraken2_refseqV208_nt-0.80	20
strain_sample_10-kraken2_refseqV208_nt-0.75	21
strain_sample_10-kraken2_refseqV208_nt-0.95	16
strain_sample_10-kraken2_refseqV208_nt-0.90	17
strain_sample_10-kraken2_refseqV208_nt-0.85	18
mouse_sample_1-kraken2_refseqV208_nt-0.25	130
strain_sample_10-kraken2_refseqV208_nt-1.00	16
mouse_sample_1-kraken2_refseqV208_nt-0.20	168
mouse_sample_1-kraken2_refseqV208_nt-0.10	519
mouse_sample_1-kraken2_refseqV208_nt-0.05	2084
mouse_sample_1-kraken2_refseqV208_nt-0.15	243
mouse_sample_1-kraken2_refseqV208_nt-0.00	9847
mouse_sample_1-kraken2_refseqV208_nt-0.40	88
mouse_sample_1-kraken2_refseqV208_nt-0.30	106
mouse_sample_1-kraken2_refseqV208_nt-0.45	85
mouse_sample_1-kraken2_refseqV208_nt-0.35	97
mouse_sample_1-kraken2_refseqV208_nt-0.65	63
mouse_sample_1-kraken2_refseqV208_nt-0.70	60
mouse_sample_1-kraken2_refseqV208_nt-0.50	80
mouse_sample_1-kraken2_refseqV208_nt-0.85	50
mouse_sample_1-kraken2_refseqV208_nt-0.55	74
mouse_sample_1-kraken2_refseqV208_nt-0.60	70
mouse_sample_1-kraken2_refseqV208_nt-0.75	57
mouse_sample_1-kraken2_refseqV208_nt-0.80	53
mouse_sample_1-kraken2_refseqV208_nt-1.00	38
mouse_sample_1-kraken2_refseqV208_nt-0.90	44
mouse_sample_1-kraken2_refseqV208_nt-0.95	43
mouse_sample_23-kraken2_refseqV208_nt-0.40	119
mouse_sample_23-kraken2_refseqV208_nt-0.15	298
mouse_sample_23-kraken2_refseqV208_nt-0.25	171
mouse_sample_23-kraken2_refseqV208_nt-0.10	640
mouse_sample_23-kraken2_refseqV208_nt-0.20	198
mouse_sample_23-kraken2_refseqV208_nt-0.35	131
mouse_sample_23-kraken2_refseqV208_nt-0.05	2252
mouse_sample_23-kraken2_refseqV208_nt-0.30	143
mouse_sample_23-kraken2_refseqV208_nt-0.00	9233
mouse_sample_23-kraken2_refseqV208_nt-0.55	90
mouse_sample_23-kraken2_refseqV208_nt-0.50	99
mouse_sample_23-kraken2_refseqV208_nt-0.45	110
mouse_sample_23-kraken2_refseqV208_nt-0.75	71
mouse_sample_23-kraken2_refseqV208_nt-1.00	44
mouse_sample_23-kraken2_refseqV208_nt-0.95	51
mouse_sample_23-kraken2_refseqV208_nt-0.85	62
mouse_sample_23-kraken2_refseqV208_nt-0.90	60
mouse_sample_23-kraken2_refseqV208_nt-0.60	84
mouse_sample_23-kraken2_refseqV208_nt-0.70	77
mouse_sample_23-kraken2_refseqV208_nt-0.65	79
mouse_sample_23-kraken2_refseqV208_nt-0.80	68
strain_sample_95-kraken2_refseqV208_nt-0.15	203
strain_sample_95-kraken2_refseqV208_nt-0.20	132
strain_sample_95-kraken2_refseqV208_nt-0.30	41
strain_sample_95-kraken2_refseqV208_nt-0.40	34
strain_sample_95-kraken2_refseqV208_nt-0.25	77
strain_sample_95-kraken2_refseqV208_nt-0.45	30
strain_sample_95-kraken2_refseqV208_nt-0.55	25
strain_sample_95-kraken2_refseqV208_nt-0.35	38
strain_sample_95-kraken2_refseqV208_nt-0.10	358
strain_sample_95-kraken2_refseqV208_nt-0.50	27
strain_sample_95-kraken2_refseqV208_nt-0.05	1035
strain_sample_95-kraken2_refseqV208_nt-0.00	4175
strain_sample_95-kraken2_refseqV208_nt-0.60	24
strain_sample_95-kraken2_refseqV208_nt-0.65	24
strain_sample_95-kraken2_refseqV208_nt-0.70	23
strain_sample_95-kraken2_refseqV208_nt-0.75	23
strain_sample_95-kraken2_refseqV208_nt-0.80	22
strain_sample_95-kraken2_refseqV208_nt-0.85	22
strain_sample_95-kraken2_refseqV208_nt-0.90	21
strain_sample_95-kraken2_refseqV208_nt-0.95	18
strain_sample_47-kraken2_refseqV208_nt-0.10	353
strain_sample_47-kraken2_refseqV208_nt-0.05	1017
strain_sample_47-kraken2_refseqV208_nt-0.00	4163
strain_sample_95-kraken2_refseqV208_nt-1.00	17
strain_sample_47-kraken2_refseqV208_nt-0.15	207
strain_sample_47-kraken2_refseqV208_nt-0.35	44
strain_sample_47-kraken2_refseqV208_nt-0.25	75
strain_sample_47-kraken2_refseqV208_nt-0.55	29
strain_sample_47-kraken2_refseqV208_nt-0.50	30
strain_sample_47-kraken2_refseqV208_nt-0.65	25
strain_sample_47-kraken2_refseqV208_nt-0.20	123
strain_sample_47-kraken2_refseqV208_nt-0.30	44
strain_sample_47-kraken2_refseqV208_nt-0.45	33
strain_sample_47-kraken2_refseqV208_nt-0.70	24
strain_sample_47-kraken2_refseqV208_nt-0.40	39
strain_sample_47-kraken2_refseqV208_nt-0.60	29
strain_sample_47-kraken2_refseqV208_nt-0.95	17
strain_sample_47-kraken2_refseqV208_nt-1.00	17
marine_sample_7-kraken2_refseqV208_nt-0.20	388
marine_sample_7-kraken2_refseqV208_nt-0.15	534
marine_sample_7-kraken2_refseqV208_nt-0.25	325
marine_sample_7-kraken2_refseqV208_nt-0.10	880
strain_sample_47-kraken2_refseqV208_nt-0.85	21
marine_sample_7-kraken2_refseqV208_nt-0.05	2030
strain_sample_47-kraken2_refseqV208_nt-0.80	22
strain_sample_47-kraken2_refseqV208_nt-0.90	20
strain_sample_47-kraken2_refseqV208_nt-0.75	23
marine_sample_7-kraken2_refseqV208_nt-0.00	5861
marine_sample_7-kraken2_refseqV208_nt-0.30	291
marine_sample_7-kraken2_refseqV208_nt-0.50	240
marine_sample_7-kraken2_refseqV208_nt-0.55	229
marine_sample_7-kraken2_refseqV208_nt-0.40	258
marine_sample_7-kraken2_refseqV208_nt-0.60	226
marine_sample_7-kraken2_refseqV208_nt-0.70	218
marine_sample_7-kraken2_refseqV208_nt-0.65	220
marine_sample_7-kraken2_refseqV208_nt-0.45	249
marine_sample_7-kraken2_refseqV208_nt-0.35	272
marine_sample_7-kraken2_refseqV208_nt-0.85	210
marine_sample_7-kraken2_refseqV208_nt-0.75	214
marine_sample_7-kraken2_refseqV208_nt-0.80	212
marine_sample_7-kraken2_refseqV208_nt-0.90	206
marine_sample_7-kraken2_refseqV208_nt-0.95	201
marine_sample_7-kraken2_refseqV208_nt-1.00	201
strain_sample_79-kraken2_refseqV208_nt-0.20	128
strain_sample_79-kraken2_refseqV208_nt-0.30	46
strain_sample_79-kraken2_refseqV208_nt-0.35	42
strain_sample_79-kraken2_refseqV208_nt-0.15	207
strain_sample_79-kraken2_refseqV208_nt-0.40	36
strain_sample_79-kraken2_refseqV208_nt-0.25	74
strain_sample_79-kraken2_refseqV208_nt-0.10	354
strain_sample_79-kraken2_refseqV208_nt-0.05	974
strain_sample_79-kraken2_refseqV208_nt-0.00	3885
strain_sample_79-kraken2_refseqV208_nt-0.75	21
strain_sample_79-kraken2_refseqV208_nt-0.50	29
strain_sample_79-kraken2_refseqV208_nt-0.80	20
strain_sample_79-kraken2_refseqV208_nt-1.00	16
strain_sample_79-kraken2_refseqV208_nt-0.85	19
strain_sample_79-kraken2_refseqV208_nt-0.70	22
strain_sample_79-kraken2_refseqV208_nt-0.95	18
strain_sample_79-kraken2_refseqV208_nt-0.55	28
strain_sample_79-kraken2_refseqV208_nt-0.60	25
strain_sample_79-kraken2_refseqV208_nt-0.90	18
strain_sample_79-kraken2_refseqV208_nt-0.45	33
strain_sample_79-kraken2_refseqV208_nt-0.65	24
mouse_sample_36-kraken2_refseqV208_nt-0.10	715
mouse_sample_36-kraken2_refseqV208_nt-0.55	128
mouse_sample_36-kraken2_refseqV208_nt-0.50	135
mouse_sample_36-kraken2_refseqV208_nt-0.40	153
mouse_sample_36-kraken2_refseqV208_nt-0.45	145
mouse_sample_36-kraken2_refseqV208_nt-0.05	2581
mouse_sample_36-kraken2_refseqV208_nt-0.30	177
mouse_sample_36-kraken2_refseqV208_nt-0.25	207
mouse_sample_36-kraken2_refseqV208_nt-0.20	239
mouse_sample_36-kraken2_refseqV208_nt-0.15	345
mouse_sample_36-kraken2_refseqV208_nt-0.35	166
mouse_sample_36-kraken2_refseqV208_nt-0.00	12184
mouse_sample_36-kraken2_refseqV208_nt-0.85	95
mouse_sample_36-kraken2_refseqV208_nt-0.80	105
mouse_sample_36-kraken2_refseqV208_nt-0.90	90
mouse_sample_36-kraken2_refseqV208_nt-0.75	110
mouse_sample_36-kraken2_refseqV208_nt-0.65	120
mouse_sample_36-kraken2_refseqV208_nt-1.00	67
strain_sample_80-kraken2_refseqV208_nt-0.10	337
mouse_sample_36-kraken2_refseqV208_nt-0.60	126
mouse_sample_36-kraken2_refseqV208_nt-0.70	115
strain_sample_80-kraken2_refseqV208_nt-0.05	988
strain_sample_80-kraken2_refseqV208_nt-0.00	4078
mouse_sample_36-kraken2_refseqV208_nt-0.95	80
strain_sample_80-kraken2_refseqV208_nt-0.30	39
strain_sample_80-kraken2_refseqV208_nt-0.40	33
strain_sample_80-kraken2_refseqV208_nt-0.35	36
strain_sample_80-kraken2_refseqV208_nt-0.20	120
strain_sample_80-kraken2_refseqV208_nt-0.65	24
strain_sample_80-kraken2_refseqV208_nt-0.70	23
strain_sample_80-kraken2_refseqV208_nt-0.25	67
strain_sample_80-kraken2_refseqV208_nt-0.50	25
