Sample,Median Index,Mean Index,Number of reads,Number of correctly classified reads,Number of reads classified at a lower level by Kraken,Number of reads classified at a higher level by Kraken,Number of reads classified wrong by Kraken,Unclassified reads,Median Index of reads classified at a higher level by Kraken,Mean Index of reads classified at a higher level by Kraken,Median Index of reads classified wrong by Kraken,Mean Index of reads classified wrong by Kraken
marine_sample_0-kraken2_GTDBr202RefSeqV205,0.0,0.7189910493503638,33294790,27528555,20459143,1139053,3005768,1602035,1.0,1.7821067149640974,1.0,2.433992244245065
marine_sample_0-kraken2_chocophlan,1.0,3.7250533792223943,33294790,15045890,3030658,1652049,4545647,12050975,1.0,2.0772937122325064,2.0,2.66898045536752
marine_sample_0-kraken2_minikraken,0.0,1.5062041538631117,33294790,25845440,15751861,1255233,1010856,5183183,1.0,1.5885178289608384,1.0,1.4892744367150217
marine_sample_0-kraken2_refseqV205,0.0,0.5704216785869501,33294790,26925619,14137489,3764488,1570613,1030755,1.0,1.4482245659967568,1.0,2.6955182466973087
marine_sample_0-kraken2_refseqV205_100GB,0.0,1.5062041538631117,33294790,25845440,15751861,1255233,1010856,5183183,1.0,1.5885178289608384,1.0,1.4892744367150217
marine_sample_0-kraken2_refseqV205_500GB,0.0,0.7671479231435309,33294790,25863442,13317025,4433983,1486062,1503970,1.0,1.5859393236284398,2.0,3.302872962231724
marine_sample_0-kraken2_refseqV208_nt,0.0,0.7241489133885511,33294790,28095250,17041729,1562924,1780819,1828270,1.0,1.615151472496423,1.0,2.7424763549804894
marine_sample_0-kraken2_standard_0521,0.0,0.8974456063546279,33294790,27599244,17084694,1128530,1725186,2841726,1.0,1.4495432110799005,1.0,1.5464651347738736
marine_sample_1-kraken2_GTDBr202RefSeqV205,0.0,0.6437878240169997,33301262,27675918,18600659,1268332,3071450,1254033,1.0,1.8187927135797253,1.0,2.462047567109997
marine_sample_1-kraken2_chocophlan,1.0,3.5720410535792912,33301262,15275155,2569272,2026187,4778060,11221773,1.0,2.1750302415324945,2.0,2.835819767855573
marine_sample_1-kraken2_minikraken,0.0,1.2075634851315844,33301262,26926501,14360938,1538964,778391,4057336,1.0,1.6044397399809225,1.0,1.577046754137702
marine_sample_1-kraken2_refseqV205,0.0,0.5113142258692779,33301262,26607520,13481673,4700072,1299716,690316,1.0,1.5233564507096913,1.0,2.7867149438800483
marine_sample_1-kraken2_refseqV205_100GB,0.0,1.2075634851315844,33301262,26926501,14360938,1538964,778391,4057336,1.0,1.6044397399809225,1.0,1.577046754137702
marine_sample_1-kraken2_refseqV205_500GB,0.0,0.7052847726911972,33301262,25499666,12753332,5453334,1243734,1095910,1.0,1.6690925221158286,2.0,3.573112900346859
marine_sample_1-kraken2_refseqV208_nt,0.0,0.5694218735614284,33301262,28400727,15384172,2164541,1470506,1254601,1.0,1.6085844527777482,1.0,2.782190620099476
marine_sample_1-kraken2_standard_0521,0.0,0.7561264495021239,33301262,27851117,15521901,1678666,1509578,2261793,1.0,1.37962584576086,1.0,1.660679342173773
