Sample name	Recall taxa
strain_sample_69-kraken2_refseqV205_100GB-0.35	0.0
strain_sample_69-kraken2_refseqV205_100GB-0.10	0.9
strain_sample_69-kraken2_refseqV205_100GB-0.15	0.7
strain_sample_69-kraken2_refseqV205_100GB-0.30	0.15
strain_sample_69-kraken2_refseqV205_100GB-0.20	0.5
strain_sample_69-kraken2_refseqV205_100GB-0.45	0
strain_sample_69-kraken2_refseqV205_100GB-0.05	0.9
strain_sample_69-kraken2_refseqV205_100GB-0.25	0.25
strain_sample_69-kraken2_refseqV205_100GB-0.40	0
strain_sample_69-kraken2_refseqV205_100GB-0.50	0
strain_sample_69-kraken2_refseqV205_100GB-0.55	0
strain_sample_69-kraken2_refseqV205_100GB-0.00	0.7
strain_sample_69-kraken2_refseqV205_100GB-0.70	0
strain_sample_69-kraken2_refseqV205_100GB-0.85	0
strain_sample_69-kraken2_refseqV205_100GB-0.80	0
strain_sample_69-kraken2_refseqV205_100GB-0.95	0
strain_sample_69-kraken2_refseqV205_100GB-0.90	0
strain_sample_69-kraken2_refseqV205_100GB-0.65	0
strain_sample_69-kraken2_refseqV205_100GB-0.75	0
strain_sample_69-kraken2_refseqV205_100GB-1.00	0
strain_sample_69-kraken2_refseqV205_100GB-0.60	0
strain_sample_56-kraken2_refseqV205_100GB-0.10	0.9
strain_sample_56-kraken2_refseqV205_100GB-0.05	0.95
strain_sample_56-kraken2_refseqV205_100GB-0.00	0.7
strain_sample_56-kraken2_refseqV205_100GB-0.45	0
strain_sample_56-kraken2_refseqV205_100GB-0.50	0
strain_sample_56-kraken2_refseqV205_100GB-0.20	0.45
strain_sample_56-kraken2_refseqV205_100GB-0.55	0
strain_sample_56-kraken2_refseqV205_100GB-0.30	0.05
strain_sample_56-kraken2_refseqV205_100GB-0.35	0
strain_sample_56-kraken2_refseqV205_100GB-0.65	0
strain_sample_56-kraken2_refseqV205_100GB-0.60	0
strain_sample_56-kraken2_refseqV205_100GB-0.70	0
strain_sample_56-kraken2_refseqV205_100GB-0.25	0.15
strain_sample_56-kraken2_refseqV205_100GB-0.40	0
strain_sample_56-kraken2_refseqV205_100GB-0.15	0.7
strain_sample_56-kraken2_refseqV205_100GB-0.90	0
strain_sample_56-kraken2_refseqV205_100GB-0.75	0
strain_sample_56-kraken2_refseqV205_100GB-0.85	0
strain_sample_56-kraken2_refseqV205_100GB-0.80	0
strain_sample_56-kraken2_refseqV205_100GB-0.95	0
strain_sample_56-kraken2_refseqV205_100GB-1.00	0
strain_sample_25-kraken2_refseqV205_100GB-0.20	0.4
strain_sample_25-kraken2_refseqV205_100GB-0.25	0.2
strain_sample_25-kraken2_refseqV205_100GB-0.15	0.65
strain_sample_25-kraken2_refseqV205_100GB-0.05	0.9
strain_sample_25-kraken2_refseqV205_100GB-0.00	0.7
strain_sample_25-kraken2_refseqV205_100GB-0.10	0.9
strain_sample_25-kraken2_refseqV205_100GB-0.50	0
strain_sample_25-kraken2_refseqV205_100GB-0.70	0
strain_sample_25-kraken2_refseqV205_100GB-0.80	0
strain_sample_25-kraken2_refseqV205_100GB-0.85	0
strain_sample_25-kraken2_refseqV205_100GB-0.45	0
strain_sample_25-kraken2_refseqV205_100GB-0.75	0
strain_sample_25-kraken2_refseqV205_100GB-0.40	0
strain_sample_25-kraken2_refseqV205_100GB-0.60	0
strain_sample_25-kraken2_refseqV205_100GB-0.55	0
strain_sample_25-kraken2_refseqV205_100GB-0.35	0
strain_sample_25-kraken2_refseqV205_100GB-0.65	0
strain_sample_25-kraken2_refseqV205_100GB-0.30	0.05
strain_sample_25-kraken2_refseqV205_100GB-0.90	0
strain_sample_25-kraken2_refseqV205_100GB-1.00	0
strain_sample_25-kraken2_refseqV205_100GB-0.95	0
mouse_sample_32-kraken2_refseqV205_100GB-0.10	0.9387755102040817
mouse_sample_32-kraken2_refseqV205_100GB-0.15	0.8979591836734694
mouse_sample_32-kraken2_refseqV205_100GB-0.30	0.4897959183673469
mouse_sample_32-kraken2_refseqV205_100GB-0.20	0.8979591836734694
mouse_sample_32-kraken2_refseqV205_100GB-0.25	0.8367346938775511
mouse_sample_32-kraken2_refseqV205_100GB-0.05	0.9591836734693877
mouse_sample_32-kraken2_refseqV205_100GB-0.40	0
mouse_sample_32-kraken2_refseqV205_100GB-0.35	0.10204081632653061
mouse_sample_32-kraken2_refseqV205_100GB-0.00	0.5714285714285714
mouse_sample_32-kraken2_refseqV205_100GB-0.45	0
mouse_sample_32-kraken2_refseqV205_100GB-0.65	0
mouse_sample_32-kraken2_refseqV205_100GB-0.80	0
mouse_sample_32-kraken2_refseqV205_100GB-0.70	0
mouse_sample_32-kraken2_refseqV205_100GB-1.00	0
mouse_sample_32-kraken2_refseqV205_100GB-0.90	0
mouse_sample_32-kraken2_refseqV205_100GB-0.95	0
mouse_sample_32-kraken2_refseqV205_100GB-0.85	0
mouse_sample_32-kraken2_refseqV205_100GB-0.60	0
mouse_sample_32-kraken2_refseqV205_100GB-0.75	0
mouse_sample_32-kraken2_refseqV205_100GB-0.55	0
mouse_sample_32-kraken2_refseqV205_100GB-0.50	0
mouse_sample_6-kraken2_refseqV205_100GB-0.10	0.8066037735849056
mouse_sample_6-kraken2_refseqV205_100GB-0.50	0
mouse_sample_6-kraken2_refseqV205_100GB-0.35	0.02358490566037736
mouse_sample_6-kraken2_refseqV205_100GB-0.15	0.7688679245283019
mouse_sample_6-kraken2_refseqV205_100GB-0.40	0
mouse_sample_6-kraken2_refseqV205_100GB-0.55	0
mouse_sample_6-kraken2_refseqV205_100GB-0.45	0
mouse_sample_6-kraken2_refseqV205_100GB-0.30	0.1792452830188679
mouse_sample_6-kraken2_refseqV205_100GB-0.20	0.6698113207547169
mouse_sample_6-kraken2_refseqV205_100GB-0.25	0.5283018867924528
mouse_sample_6-kraken2_refseqV205_100GB-0.05	0.8301886792452831
mouse_sample_6-kraken2_refseqV205_100GB-0.00	0.2783018867924528
mouse_sample_6-kraken2_refseqV205_100GB-0.65	0
mouse_sample_6-kraken2_refseqV205_100GB-0.60	0
mouse_sample_6-kraken2_refseqV205_100GB-0.90	0
mouse_sample_6-kraken2_refseqV205_100GB-0.70	0
mouse_sample_6-kraken2_refseqV205_100GB-1.00	0
mouse_sample_6-kraken2_refseqV205_100GB-0.95	0
strain_sample_91-kraken2_refseqV205_100GB-0.10	0.8
mouse_sample_6-kraken2_refseqV205_100GB-0.75	0
mouse_sample_6-kraken2_refseqV205_100GB-0.80	0
strain_sample_91-kraken2_refseqV205_100GB-0.05	0.95
mouse_sample_6-kraken2_refseqV205_100GB-0.85	0
strain_sample_91-kraken2_refseqV205_100GB-0.00	0.7
strain_sample_91-kraken2_refseqV205_100GB-0.20	0.55
strain_sample_91-kraken2_refseqV205_100GB-0.40	0
strain_sample_91-kraken2_refseqV205_100GB-0.50	0
strain_sample_91-kraken2_refseqV205_100GB-0.55	0
strain_sample_91-kraken2_refseqV205_100GB-0.30	0.15
strain_sample_91-kraken2_refseqV205_100GB-0.25	0.4
strain_sample_91-kraken2_refseqV205_100GB-0.35	0
strain_sample_91-kraken2_refseqV205_100GB-0.60	0
strain_sample_91-kraken2_refseqV205_100GB-0.45	0
strain_sample_91-kraken2_refseqV205_100GB-0.65	0
strain_sample_91-kraken2_refseqV205_100GB-0.70	0
strain_sample_91-kraken2_refseqV205_100GB-0.15	0.6
strain_sample_91-kraken2_refseqV205_100GB-0.75	0
strain_sample_91-kraken2_refseqV205_100GB-0.80	0
strain_sample_91-kraken2_refseqV205_100GB-1.00	0
strain_sample_91-kraken2_refseqV205_100GB-0.90	0
strain_sample_91-kraken2_refseqV205_100GB-0.85	0
strain_sample_91-kraken2_refseqV205_100GB-0.95	0
plant_sample_17-kraken2_refseqV205_100GB-0.15	0.5565217391304348
plant_sample_17-kraken2_refseqV205_100GB-0.20	0.4260869565217391
plant_sample_17-kraken2_refseqV205_100GB-0.25	0.20869565217391303
plant_sample_17-kraken2_refseqV205_100GB-0.10	0.6347826086956522
plant_sample_17-kraken2_refseqV205_100GB-0.00	0.2782608695652174
plant_sample_17-kraken2_refseqV205_100GB-0.05	0.6956521739130435
plant_sample_17-kraken2_refseqV205_100GB-0.35	0
plant_sample_17-kraken2_refseqV205_100GB-0.40	0
plant_sample_17-kraken2_refseqV205_100GB-0.45	0
plant_sample_17-kraken2_refseqV205_100GB-0.30	0.09565217391304348
plant_sample_17-kraken2_refseqV205_100GB-0.65	0
plant_sample_17-kraken2_refseqV205_100GB-0.85	0
plant_sample_17-kraken2_refseqV205_100GB-0.75	0
plant_sample_17-kraken2_refseqV205_100GB-0.70	0
plant_sample_17-kraken2_refseqV205_100GB-0.55	0
plant_sample_17-kraken2_refseqV205_100GB-0.50	0
plant_sample_17-kraken2_refseqV205_100GB-0.60	0
plant_sample_17-kraken2_refseqV205_100GB-0.80	0
plant_sample_17-kraken2_refseqV205_100GB-1.00	0
plant_sample_17-kraken2_refseqV205_100GB-0.95	0
plant_sample_17-kraken2_refseqV205_100GB-0.90	0
plant_sample_5-kraken2_refseqV205_100GB-0.10	0.5959595959595959
plant_sample_5-kraken2_refseqV205_100GB-0.40	0
plant_sample_5-kraken2_refseqV205_100GB-0.30	0.12121212121212122
plant_sample_5-kraken2_refseqV205_100GB-0.15	0.5454545454545454
plant_sample_5-kraken2_refseqV205_100GB-0.20	0.43434343434343436
plant_sample_5-kraken2_refseqV205_100GB-0.35	0.010101010101010102
plant_sample_5-kraken2_refseqV205_100GB-0.25	0.31313131313131315
plant_sample_5-kraken2_refseqV205_100GB-0.05	0.6666666666666666
plant_sample_5-kraken2_refseqV205_100GB-0.00	0.26262626262626265
plant_sample_5-kraken2_refseqV205_100GB-0.45	0
plant_sample_5-kraken2_refseqV205_100GB-0.60	0
plant_sample_5-kraken2_refseqV205_100GB-0.65	0
plant_sample_5-kraken2_refseqV205_100GB-0.70	0
plant_sample_5-kraken2_refseqV205_100GB-0.55	0
plant_sample_5-kraken2_refseqV205_100GB-0.50	0
plant_sample_5-kraken2_refseqV205_100GB-0.95	0
plant_sample_5-kraken2_refseqV205_100GB-0.80	0
plant_sample_5-kraken2_refseqV205_100GB-0.85	0
plant_sample_5-kraken2_refseqV205_100GB-0.90	0
plant_sample_5-kraken2_refseqV205_100GB-1.00	0
plant_sample_5-kraken2_refseqV205_100GB-0.75	0
mouse_sample_13-kraken2_refseqV205_100GB-0.20	0.7567567567567568
mouse_sample_13-kraken2_refseqV205_100GB-0.40	0.018018018018018018
