Sample name	Recall reads
strain_sample_0-kraken2_refseqV205_100GB-0.45	0
strain_sample_0-kraken2_refseqV205_100GB-0.00	0.7697183766307043
strain_sample_0-kraken2_refseqV205_100GB-0.25	0.0005404188685749096
strain_sample_0-kraken2_refseqV205_100GB-0.30	3.734021655522453e-05
strain_sample_0-kraken2_refseqV205_100GB-0.05	0.3913280239602478
strain_sample_0-kraken2_refseqV205_100GB-0.50	0
strain_sample_0-kraken2_refseqV205_100GB-0.55	0
strain_sample_0-kraken2_refseqV205_100GB-0.35	0
strain_sample_0-kraken2_refseqV205_100GB-0.10	0.12320092657831536
strain_sample_0-kraken2_refseqV205_100GB-0.20	0.003555359613332666
strain_sample_0-kraken2_refseqV205_100GB-0.15	0.02539976195424118
strain_sample_0-kraken2_refseqV205_100GB-0.40	0
strain_sample_0-kraken2_refseqV205_100GB-0.60	0
strain_sample_0-kraken2_refseqV205_100GB-0.75	0
strain_sample_0-kraken2_refseqV205_100GB-0.70	0
strain_sample_0-kraken2_refseqV205_100GB-0.95	0
strain_sample_0-kraken2_refseqV205_100GB-0.90	0
strain_sample_0-kraken2_refseqV205_100GB-0.80	0
strain_sample_0-kraken2_refseqV205_100GB-0.85	0
strain_sample_0-kraken2_refseqV205_100GB-1.00	0
strain_sample_0-kraken2_refseqV205_100GB-0.65	0
plant_sample_9-kraken2_refseqV205_100GB-0.05	0.32832752535172227
plant_sample_9-kraken2_refseqV205_100GB-0.10	0.09482648752810785
plant_sample_9-kraken2_refseqV205_100GB-0.00	0.3831029113147769
plant_sample_9-kraken2_refseqV205_100GB-0.35	1.2046005622834505e-06
plant_sample_9-kraken2_refseqV205_100GB-0.45	0
plant_sample_9-kraken2_refseqV205_100GB-0.25	0.0003801117074285428
plant_sample_9-kraken2_refseqV205_100GB-0.15	0.01875391419895207
plant_sample_9-kraken2_refseqV205_100GB-0.70	0
plant_sample_9-kraken2_refseqV205_100GB-0.50	0
plant_sample_9-kraken2_refseqV205_100GB-0.60	0
plant_sample_9-kraken2_refseqV205_100GB-0.40	0
plant_sample_9-kraken2_refseqV205_100GB-0.30	3.258444520976733e-05
plant_sample_9-kraken2_refseqV205_100GB-0.55	0
plant_sample_9-kraken2_refseqV205_100GB-0.65	0
plant_sample_9-kraken2_refseqV205_100GB-0.20	0.002560709760288102
plant_sample_9-kraken2_refseqV205_100GB-0.80	0
plant_sample_9-kraken2_refseqV205_100GB-0.75	0
plant_sample_9-kraken2_refseqV205_100GB-1.00	0
plant_sample_9-kraken2_refseqV205_100GB-0.90	0
strain_sample_29-kraken2_refseqV205_100GB-0.15	0.025685747189318976
strain_sample_29-kraken2_refseqV205_100GB-0.10	0.12161896009391154
plant_sample_9-kraken2_refseqV205_100GB-0.95	0
plant_sample_9-kraken2_refseqV205_100GB-0.85	0
strain_sample_29-kraken2_refseqV205_100GB-0.05	0.39612088253021926
strain_sample_29-kraken2_refseqV205_100GB-0.25	0.0005715249522512982
strain_sample_29-kraken2_refseqV205_100GB-0.20	0.0036943366895096095
strain_sample_29-kraken2_refseqV205_100GB-0.00	0.8332007022301585
strain_sample_29-kraken2_refseqV205_100GB-0.30	4.581528181137826e-05
strain_sample_29-kraken2_refseqV205_100GB-0.55	0
strain_sample_29-kraken2_refseqV205_100GB-0.65	0
strain_sample_29-kraken2_refseqV205_100GB-0.60	0
strain_sample_29-kraken2_refseqV205_100GB-0.45	0
strain_sample_29-kraken2_refseqV205_100GB-0.70	0
strain_sample_29-kraken2_refseqV205_100GB-0.50	0
strain_sample_29-kraken2_refseqV205_100GB-0.80	0
strain_sample_29-kraken2_refseqV205_100GB-0.35	0
strain_sample_29-kraken2_refseqV205_100GB-0.75	0
strain_sample_29-kraken2_refseqV205_100GB-0.40	0
strain_sample_29-kraken2_refseqV205_100GB-0.85	0
strain_sample_29-kraken2_refseqV205_100GB-1.00	0
plant_sample_20-kraken2_refseqV205_100GB-0.40	0
plant_sample_20-kraken2_refseqV205_100GB-0.25	0.0003621988456923424
plant_sample_20-kraken2_refseqV205_100GB-0.15	0.017502136464829773
plant_sample_20-kraken2_refseqV205_100GB-0.35	1.2633794135934211e-06
plant_sample_20-kraken2_refseqV205_100GB-0.10	0.09063847886712166
strain_sample_29-kraken2_refseqV205_100GB-0.90	0
strain_sample_29-kraken2_refseqV205_100GB-0.95	0
plant_sample_20-kraken2_refseqV205_100GB-0.30	2.8185393108024657e-05
plant_sample_20-kraken2_refseqV205_100GB-0.20	0.002382492930339365
plant_sample_20-kraken2_refseqV205_100GB-0.05	0.30365760372420186
plant_sample_20-kraken2_refseqV205_100GB-0.00	0.24185227063873155
plant_sample_20-kraken2_refseqV205_100GB-0.50	0
plant_sample_20-kraken2_refseqV205_100GB-0.65	0
plant_sample_20-kraken2_refseqV205_100GB-0.75	0
plant_sample_20-kraken2_refseqV205_100GB-0.55	0
plant_sample_20-kraken2_refseqV205_100GB-0.60	0
plant_sample_20-kraken2_refseqV205_100GB-0.45	0
plant_sample_20-kraken2_refseqV205_100GB-0.70	0
plant_sample_20-kraken2_refseqV205_100GB-0.95	0
plant_sample_20-kraken2_refseqV205_100GB-0.80	0
plant_sample_20-kraken2_refseqV205_100GB-0.90	0
plant_sample_20-kraken2_refseqV205_100GB-0.85	0
plant_sample_20-kraken2_refseqV205_100GB-1.00	0
strain_sample_88-kraken2_refseqV205_100GB-0.10	0.1198991503737601
strain_sample_88-kraken2_refseqV205_100GB-0.25	0.0005254087585459704
strain_sample_88-kraken2_refseqV205_100GB-0.15	0.02411950824986433
strain_sample_88-kraken2_refseqV205_100GB-0.35	0
strain_sample_88-kraken2_refseqV205_100GB-0.40	0
strain_sample_88-kraken2_refseqV205_100GB-0.45	0
strain_sample_88-kraken2_refseqV205_100GB-0.30	4.538714104144252e-05
strain_sample_88-kraken2_refseqV205_100GB-0.50	0
strain_sample_88-kraken2_refseqV205_100GB-0.05	0.39367881864786297
strain_sample_88-kraken2_refseqV205_100GB-0.20	0.0034522782015330333
strain_sample_88-kraken2_refseqV205_100GB-0.55	0
strain_sample_88-kraken2_refseqV205_100GB-0.00	0.8013226744688464
strain_sample_88-kraken2_refseqV205_100GB-0.65	0
strain_sample_88-kraken2_refseqV205_100GB-0.70	0
strain_sample_88-kraken2_refseqV205_100GB-0.95	0
strain_sample_88-kraken2_refseqV205_100GB-0.85	0
strain_sample_88-kraken2_refseqV205_100GB-1.00	0
strain_sample_88-kraken2_refseqV205_100GB-0.60	0
strain_sample_88-kraken2_refseqV205_100GB-0.80	0
plant_sample_17-kraken2_refseqV205_100GB-0.10	0.08151569398268693
strain_sample_88-kraken2_refseqV205_100GB-0.75	0
strain_sample_88-kraken2_refseqV205_100GB-0.90	0
plant_sample_17-kraken2_refseqV205_100GB-0.00	0.2650246109315195
plant_sample_17-kraken2_refseqV205_100GB-0.05	0.27702772060493586
plant_sample_17-kraken2_refseqV205_100GB-0.40	0
plant_sample_17-kraken2_refseqV205_100GB-0.20	0.0023457853167152946
