Sample name	Simpson's diversity
strain_sample_98-kraken2_refseqV205_100GB-0.10	0.6324573080630628
strain_sample_98-kraken2_refseqV205_100GB-0.25	0.5524059197028006
strain_sample_98-kraken2_refseqV205_100GB-0.20	0.5762138350215675
strain_sample_98-kraken2_refseqV205_100GB-0.15	0.6329202879034797
strain_sample_98-kraken2_refseqV205_100GB-0.05	0.6745069383965706
strain_sample_98-kraken2_refseqV205_100GB-0.00	0.718867176339758
strain_sample_98-kraken2_refseqV205_100GB-0.35	0.0
strain_sample_98-kraken2_refseqV205_100GB-0.30	0.12126192674669123
strain_sample_98-kraken2_refseqV205_100GB-0.55	nan
strain_sample_98-kraken2_refseqV205_100GB-0.50	nan
strain_sample_98-kraken2_refseqV205_100GB-0.40	nan
strain_sample_98-kraken2_refseqV205_100GB-0.45	nan
strain_sample_98-kraken2_refseqV205_100GB-0.60	nan
strain_sample_98-kraken2_refseqV205_100GB-0.75	nan
strain_sample_98-kraken2_refseqV205_100GB-0.70	nan
strain_sample_98-kraken2_refseqV205_100GB-0.65	nan
strain_sample_98-kraken2_refseqV205_100GB-0.80	nan
strain_sample_98-kraken2_refseqV205_100GB-0.85	nan
strain_sample_98-kraken2_refseqV205_100GB-0.95	nan
strain_sample_98-kraken2_refseqV205_100GB-1.00	nan
strain_sample_98-kraken2_refseqV205_100GB-0.90	nan
mouse_sample_22-kraken2_refseqV205_100GB-0.10	0.8265305790181174
mouse_sample_22-kraken2_refseqV205_100GB-0.05	0.827210656544519
mouse_sample_22-kraken2_refseqV205_100GB-0.00	0.7059509143360456
mouse_sample_22-kraken2_refseqV205_100GB-0.40	0.0
mouse_sample_22-kraken2_refseqV205_100GB-0.20	0.8313243539360617
mouse_sample_22-kraken2_refseqV205_100GB-0.30	0.773922578158714
mouse_sample_22-kraken2_refseqV205_100GB-0.25	0.8342299558041743
mouse_sample_22-kraken2_refseqV205_100GB-0.35	0.7274666666666667
mouse_sample_22-kraken2_refseqV205_100GB-0.15	0.8289094763156408
mouse_sample_22-kraken2_refseqV205_100GB-0.65	nan
mouse_sample_22-kraken2_refseqV205_100GB-0.55	nan
mouse_sample_22-kraken2_refseqV205_100GB-0.50	nan
mouse_sample_22-kraken2_refseqV205_100GB-0.70	nan
mouse_sample_22-kraken2_refseqV205_100GB-0.45	nan
mouse_sample_22-kraken2_refseqV205_100GB-0.60	nan
mouse_sample_22-kraken2_refseqV205_100GB-0.90	nan
mouse_sample_22-kraken2_refseqV205_100GB-0.95	nan
mouse_sample_22-kraken2_refseqV205_100GB-0.85	nan
mouse_sample_22-kraken2_refseqV205_100GB-0.80	nan
mouse_sample_22-kraken2_refseqV205_100GB-0.75	nan
mouse_sample_22-kraken2_refseqV205_100GB-1.00	nan
plant_sample_14-kraken2_refseqV205_100GB-0.10	0.7811597561466346
plant_sample_14-kraken2_refseqV205_100GB-0.25	0.7157467515397262
