Sample name	F1 score reads
mouse_sample_56-kraken2_refseqV205_500GB-0.20	0.6100244512017335
mouse_sample_56-kraken2_refseqV205_500GB-0.25	0.49920762071767194
mouse_sample_56-kraken2_refseqV205_500GB-0.15	0.7206050896315791
mouse_sample_56-kraken2_refseqV205_500GB-0.10	0.8028799612538844
mouse_sample_56-kraken2_refseqV205_500GB-0.05	0.8536368147211342
mouse_sample_56-kraken2_refseqV205_500GB-0.00	0.8639251278546146
mouse_sample_56-kraken2_refseqV205_500GB-0.50	0.02547248952102715
mouse_sample_56-kraken2_refseqV205_500GB-0.35	0.22444841499708362
mouse_sample_56-kraken2_refseqV205_500GB-0.30	0.3571946243931239
mouse_sample_56-kraken2_refseqV205_500GB-0.40	0.12072127165231508
mouse_sample_56-kraken2_refseqV205_500GB-0.55	0.008506693309494504
mouse_sample_56-kraken2_refseqV205_500GB-0.45	0.05529539655403746
mouse_sample_56-kraken2_refseqV205_500GB-0.60	0.002173798032940165
mouse_sample_56-kraken2_refseqV205_500GB-0.85	0
mouse_sample_56-kraken2_refseqV205_500GB-0.80	1.2141200584440973e-07
mouse_sample_56-kraken2_refseqV205_500GB-0.75	1.0259260310366906e-05
mouse_sample_56-kraken2_refseqV205_500GB-0.70	6.47104090820877e-05
mouse_sample_56-kraken2_refseqV205_500GB-0.65	0.0004334025092129897
strain_sample_71-kraken2_refseqV205_500GB-0.10	0.7503342042198328
mouse_sample_56-kraken2_refseqV205_500GB-1.00	0
mouse_sample_56-kraken2_refseqV205_500GB-0.95	0
mouse_sample_56-kraken2_refseqV205_500GB-0.90	0
strain_sample_71-kraken2_refseqV205_500GB-0.05	0.7983777049017909
strain_sample_71-kraken2_refseqV205_500GB-0.00	0.7902408166229756
strain_sample_71-kraken2_refseqV205_500GB-0.40	0.16901018086684638
strain_sample_71-kraken2_refseqV205_500GB-0.20	0.7156342063020638
strain_sample_71-kraken2_refseqV205_500GB-0.15	0.7080752062139285
strain_sample_71-kraken2_refseqV205_500GB-0.25	0.6246825692081557
strain_sample_71-kraken2_refseqV205_500GB-0.30	0.4638194397753539
strain_sample_71-kraken2_refseqV205_500GB-0.35	0.3023537550085643
strain_sample_71-kraken2_refseqV205_500GB-0.55	0.011577573073050327
strain_sample_71-kraken2_refseqV205_500GB-0.45	0.0788554168700476
strain_sample_71-kraken2_refseqV205_500GB-0.50	0.035942142888459455
strain_sample_71-kraken2_refseqV205_500GB-0.60	0.0029637839563648126
strain_sample_71-kraken2_refseqV205_500GB-0.65	0.0005676222894570021
strain_sample_71-kraken2_refseqV205_500GB-0.70	7.4128689058192e-05
strain_sample_71-kraken2_refseqV205_500GB-0.95	0
strain_sample_71-kraken2_refseqV205_500GB-0.75	1.3833762681199738e-05
strain_sample_71-kraken2_refseqV205_500GB-0.80	0
strain_sample_71-kraken2_refseqV205_500GB-0.85	0
strain_sample_71-kraken2_refseqV205_500GB-0.90	0
strain_sample_71-kraken2_refseqV205_500GB-1.00	0
strain_sample_47-kraken2_refseqV205_500GB-0.20	0.7527252076945105
strain_sample_47-kraken2_refseqV205_500GB-0.15	0.7830385581462015
strain_sample_47-kraken2_refseqV205_500GB-0.10	0.7925797538063127
strain_sample_47-kraken2_refseqV205_500GB-0.25	0.6370738470278342
strain_sample_47-kraken2_refseqV205_500GB-0.05	0.8219740341945259
strain_sample_47-kraken2_refseqV205_500GB-0.00	0.8151169921659597
strain_sample_47-kraken2_refseqV205_500GB-0.50	0.03729974229789419
strain_sample_47-kraken2_refseqV205_500GB-0.30	0.47453490034822887
strain_sample_47-kraken2_refseqV205_500GB-0.35	0.3110029712859449
strain_sample_47-kraken2_refseqV205_500GB-0.40	0.17404641793155531
strain_sample_47-kraken2_refseqV205_500GB-0.45	0.08136153369197478
strain_sample_47-kraken2_refseqV205_500GB-0.55	0.012049382140355572
strain_sample_47-kraken2_refseqV205_500GB-0.65	0.0006073009905469992
strain_sample_47-kraken2_refseqV205_500GB-0.60	0.003090685402952276
strain_sample_47-kraken2_refseqV205_500GB-0.80	9.022057125259835e-07
strain_sample_47-kraken2_refseqV205_500GB-0.85	0
strain_sample_47-kraken2_refseqV205_500GB-0.70	8.901370856220156e-05
strain_sample_47-kraken2_refseqV205_500GB-0.75	1.3984097074293825e-05
strain_sample_47-kraken2_refseqV205_500GB-0.95	0
strain_sample_47-kraken2_refseqV205_500GB-0.90	0
strain_sample_47-kraken2_refseqV205_500GB-1.00	0
