@SampleID:
@Version:0.9.1
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
2157	superkingdom	2157	Archaea	4.3931		
10239	superkingdom	10239	Viruses	1.3205		
2	superkingdom	2	Bacteria	25.9446		
1224	phylum	2|1224	Bacteria|Proteobacteria	20.9300		
203691	phylum	2|203691	Bacteria|Spirochaetes	0.0000		
651137	phylum	2157|651137	Archaea|Thaumarchaeota	0.1640		
1462430	phylum	2157|1462430	Archaea|Candidatus Nanohaloarchaeota	0.0518		
200918	phylum	2|200918	Bacteria|Thermotogae	0.1122		
200930	phylum	2|200930	Bacteria|Deferribacteres	0.0000		
976	phylum	2|976	Bacteria|Bacteroidetes	0.8804		
508458	phylum	2|508458	Bacteria|Synergistetes	0.0000		
74201	phylum	2|74201	Bacteria|Verrucomicrobia	0.0000		
201174	phylum	2|201174	Bacteria|Actinobacteria	1.4155		
1117	phylum	2|1117	Bacteria|Cyanobacteria	0.8199		
134625	phylum	2|134625	Bacteria|Kiritimatiellaeota	0.0000		
1297	phylum	2|1297	Bacteria|Deinococcus-Thermus	0.2589		
203682	phylum	2|203682	Bacteria|Planctomycetes	0.0173		
1090	phylum	2|1090	Bacteria|Chlorobi	0.4229		
28889	phylum	2157|28889	Archaea|Crenarchaeota	2.0542		
1930617	phylum	2|1930617	Bacteria|Calditrichaeota	0.0000		
1239	phylum	2|1239	Bacteria|Firmicutes	0.9062		
32066	phylum	2|32066	Bacteria|Fusobacteria	0.0777		
544448	phylum	2|544448	Bacteria|Tenericutes	0.0173		
57723	phylum	2|57723	Bacteria|Acidobacteria	0.0000		
200940	phylum	2|200940	Bacteria|Thermodesulfobacteria	0.0000		
192989	phylum	2157|192989	Archaea|Nanoarchaeota	0.0949		
200783	phylum	2|200783	Bacteria|Aquificae	0.0604		
28890	phylum	2157|28890	Archaea|Euryarchaeota	2.0283		
187857	class	2|200783|187857	Bacteria|Aquificae|Aquificae	0.0604		
183967	class	2157|28890|183967	Archaea|Euryarchaeota|Thermoplasmata	0.0000		
183963	class	2157|28890|183963	Archaea|Euryarchaeota|Halobacteria	0.1122		
203692	class	2|203691|203692	Bacteria|Spirochaetes|Spirochaetia	0.0000		
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	0.3711		
183924	class	2157|28889|183924	Archaea|Crenarchaeota|Thermoprotei	2.0542		
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	0.5351		
1051663	class	2157|1462430|1051663	Archaea|Candidatus Nanohaloarchaeota|Nanohaloarchaea	0.0518		
1921781	class	2|134625|1921781	Bacteria|Kiritimatiellaeota|Kiritimatiellae	0.0000		
200643	class	2|976|200643	Bacteria|Bacteroidetes|Bacteroidia	0.0000		
649775	class	2|508458|649775	Bacteria|Synergistetes|Synergistia	0.0000		
666505	class	2|203682|666505	Bacteria|Planctomycetes|Phycisphaerae	0.0173		
183988	class	2157|28890|183988	Archaea|Euryarchaeota|Methanopyri	0.0000		
203490	class	2|32066|203490	Bacteria|Fusobacteria|Fusobacteriia	0.0777		
29547	class	2|1224|29547	Bacteria|Proteobacteria|Epsilonproteobacteria	1.0098		
183980	class	2157|28890|183980	Archaea|Euryarchaeota|Archaeoglobi	0.1467		
117743	class	2|976|117743	Bacteria|Bacteroidetes|Flavobacteriia	0.5955		
1937959	class	2|976|1937959	Bacteria|Bacteroidetes|Saprospiria	0.0173		
188787	class	2|1297|188787	Bacteria|Deinococcus-Thermus|Deinococci	0.2589		
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	0.2330		
68337	class	2|200930|68337	Bacteria|Deferribacteres|Deferribacteres	0.0000		
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	2.6670		
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	16.6145		
768503	class	2|976|768503	Bacteria|Bacteroidetes|Cytophagia	0.2071		
183939	class	2157|28890|183939	Archaea|Euryarchaeota|Methanococci	0.0863		
84992	class	2|201174|84992	Bacteria|Actinobacteria|Acidimicrobiia	0.3970		
188708	class	2|200918|188708	Bacteria|Thermotogae|Thermotogae	0.1122		
191410	class	2|1090|191410	Bacteria|Chlorobi|Chlorobia	0.4229		
183968	class	2157|28890|183968	Archaea|Euryarchaeota|Thermococci	1.2860		
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	0.4057		
67799	class	2|200940|67799	Bacteria|Thermodesulfobacteria|Thermodesulfobacteria	0.0000		
224756	class	2157|28890|224756	Archaea|Euryarchaeota|Methanomicrobia	0.3366		
414999	class	2|74201|414999	Bacteria|Verrucomicrobia|Opitutae	0.0000		
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinobacteria	1.0184		
72273	order	2|1224|1236|72273	Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales	0.4143		
186802	order	2|1239|186801|186802	Bacteria|Firmicutes|Clostridia|Clostridiales	0.3625		
1161	order	2|1117||1161	Bacteria|Cyanobacteria||Nostocales	0.0173		
72274	order	2|1224|1236|72274	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	0.5437		
188710	order	2|200940|67799|188710	Bacteria|Thermodesulfobacteria|Thermodesulfobacteria|Thermodesulfobacteriales	0.0000		
