Sample name	Faith's phylogenetic diversity
ani99_cLOW_stTrue_r0-kraken2_chocophlan-0.35	964.0
ani99_cLOW_stTrue_r0-kraken2_chocophlan-0.30	1040.0
ani99_cLOW_stTrue_r0-kraken2_chocophlan-0.90	553.5
ani99_cLOW_stTrue_r0-kraken2_chocophlan-0.75	650.5
ani99_cLOW_stTrue_r0-kraken2_chocophlan-0.60	739.0
ani99_cLOW_stTrue_r0-kraken2_chocophlan-0.40	906.0
ani100_cLOW_stTrue_r8-kraken2_chocophlan-1.00	411.5
ani99_cLOW_stTrue_r0-kraken2_chocophlan-0.80	628.5
ani99_cLOW_stTrue_r0-kraken2_chocophlan-0.50	808.0
ani100_cLOW_stTrue_r8-kraken2_chocophlan-0.40	831.5
ani99_cLOW_stTrue_r0-kraken2_chocophlan-0.10	2002.0
ani99_cLOW_stTrue_r0-kraken2_chocophlan-0.65	712.0
ani100_cLOW_stTrue_r8-kraken2_chocophlan-0.80	509.5
ani99_cLOW_stTrue_r0-kraken2_chocophlan-0.85	596.5
ani99_cLOW_stTrue_r0-kraken2_chocophlan-0.25	1150.0
ani99_cLOW_stTrue_r0-kraken2_chocophlan-0.70	667.5
ani100_cLOW_stTrue_r8-kraken2_chocophlan-0.90	465.5
ani100_cLOW_stTrue_r8-kraken2_chocophlan-0.65	607.5
ani100_cLOW_stTrue_r8-kraken2_chocophlan-0.85	494.5
ani100_cLOW_stTrue_r8-kraken2_chocophlan-0.75	541.5
ani100_cLOW_stTrue_r8-kraken2_chocophlan-0.35	901.5
ani100_cLOW_stTrue_r8-kraken2_chocophlan-0.60	627.5
ani100_cLOW_stTrue_r8-kraken2_chocophlan-0.50	712.5
ani100_cLOW_stTrue_r8-kraken2_chocophlan-0.95	435.5
ani100_cLOW_stTrue_r8-kraken2_chocophlan-0.30	977.5
ani100_cLOW_stTrue_r8-kraken2_chocophlan-0.55	667.5
ani100_cLOW_stTrue_r8-kraken2_chocophlan-0.20	1306.5
