Sample name	Simpson's diversity
ani100_cLOW_stTrue_r9-kraken2_refseqV205_100GB-0.50	nan
ani100_cLOW_stTrue_r9-kraken2_refseqV205_100GB-0.20	0.9343436907688425
ani100_cLOW_stTrue_r9-kraken2_refseqV205_100GB-0.40	nan
ani95_cLOW_stTrue_r5-kraken2_refseqV205_100GB-0.45	nan
ani100_cLOW_stTrue_r9-kraken2_refseqV205_100GB-0.25	0.9247313398363834
ani95_cLOW_stTrue_r5-kraken2_refseqV205_100GB-0.80	nan
ani95_cLOW_stTrue_r5-kraken2_refseqV205_100GB-0.85	nan
ani95_cLOW_stTrue_r5-kraken2_refseqV205_100GB-0.20	0.9279153220641525
ani100_cLOW_stTrue_r9-kraken2_refseqV205_100GB-0.75	nan
ani95_cLOW_stTrue_r5-kraken2_refseqV205_100GB-0.10	0.9235182537245636
ani100_cLOW_stTrue_r9-kraken2_refseqV205_100GB-0.60	nan
ani95_cLOW_stTrue_r5-kraken2_refseqV205_100GB-0.90	nan
ani100_cLOW_stTrue_r9-kraken2_refseqV205_100GB-0.80	nan
ani100_cLOW_stTrue_r9-kraken2_refseqV205_100GB-0.30	0.902250187269367
ani95_cLOW_stTrue_r5-kraken2_refseqV205_100GB-0.35	0.8638130021913806
ani100_cLOW_stTrue_r9-kraken2_refseqV205_100GB-0.55	nan
ani95_cLOW_stTrue_r5-kraken2_refseqV205_100GB-0.55	nan
ani100_cLOW_stTrue_r9-kraken2_refseqV205_100GB-0.10	0.939743007207845
ani95_cLOW_stTrue_r5-kraken2_refseqV205_100GB-0.30	0.9151124398422511
ani100_cLOW_stTrue_r9-kraken2_refseqV205_100GB-0.05	0.940670045957779
ani95_cLOW_stTrue_r5-kraken2_refseqV205_100GB-0.65	nan
ani95_cLOW_stTrue_r5-kraken2_refseqV205_100GB-0.05	0.9198924307599317
ani95_cLOW_stTrue_r5-kraken2_refseqV205_100GB-0.25	0.9332969691954579
ani95_cLOW_stTrue_r5-kraken2_refseqV205_100GB-0.75	nan
ani95_cLOW_stTrue_r5-kraken2_refseqV205_100GB-0.00	0.9185611947810449
ani95_cLOW_stTrue_r5-kraken2_refseqV205_100GB-0.40	0.0
ani95_cLOW_stTrue_r5-kraken2_refseqV205_100GB-1.00	nan
ani100_cLOW_stTrue_r9-kraken2_refseqV205_100GB-0.65	nan
ani100_cLOW_stTrue_r9-kraken2_refseqV205_100GB-0.70	nan
ani95_cLOW_stTrue_r5-kraken2_refseqV205_100GB-0.95	nan
ani100_cLOW_stTrue_r9-kraken2_refseqV205_100GB-0.85	nan
ani100_cLOW_stTrue_r9-kraken2_refseqV205_100GB-0.00	0.9434762386448757
ani95_cLOW_stTrue_r5-kraken2_refseqV205_100GB-0.70	nan
ani95_cLOW_stTrue_r5-kraken2_refseqV205_100GB-0.60	nan
ani95_cLOW_stTrue_r5-kraken2_refseqV205_100GB-0.15	0.9268624707011782
ani100_cLOW_stTrue_r9-kraken2_refseqV205_100GB-0.45	nan
ani100_cLOW_stTrue_r9-kraken2_refseqV205_100GB-0.15	0.9381710089177665
ani95_cLOW_stTrue_r5-kraken2_refseqV205_100GB-0.50	nan
ani100_cLOW_stTrue_r9-kraken2_refseqV205_100GB-0.90	nan
ani100_cLOW_stTrue_r9-kraken2_refseqV205_100GB-0.35	0.8827539769379682
NA12878_NegControl_SL126488_0-kraken2_refseqV205_100GB-0.20	0.023140233840412194
ani100_cLOW_stFalse_r6-kraken2_refseqV205_100GB-0.10	0.8471393507503733
ani100_cLOW_stFalse_r6-kraken2_refseqV205_100GB-0.15	0.8483724101437615
NA12878_NegControl_SL126488_0-kraken2_refseqV205_100GB-0.30	0.03379143177870736
NA12878_NegControl_SL126488_0-kraken2_refseqV205_100GB-0.05	0.14345175718400793
ani100_cLOW_stFalse_r6-kraken2_refseqV205_100GB-0.80	nan
ani100_cLOW_stFalse_r6-kraken2_refseqV205_100GB-0.50	nan
NA12878_NegControl_SL126488_0-kraken2_refseqV205_100GB-0.40	0.025732374191225205
ani100_cLOW_stTrue_r9-kraken2_refseqV205_100GB-1.00	nan
