Sample name	Bray-Curtis dissimilarity relative abundance
NA12878_NegControl_SL126487_0-kraken2_refseqV205-0.65	0.006538825
NA12878_NegControl_SL126487_0-kraken2_refseqV205-0.90	0.039028951
NA12878_NegControl_SL126487_0-kraken2_refseqV205-0.60	0.006503585
ani99_cLOW_stFalse_r3-kraken2_refseqV205-0.35	0.100343288
ani99_cLOW_stFalse_r3-kraken2_refseqV205-0.60	0.100499267
ani99_cLOW_stFalse_r3-kraken2_refseqV205-0.30	0.10684709
ani99_cLOW_stFalse_r3-kraken2_refseqV205-0.50	0.09540423
ani99_cLOW_stFalse_r3-kraken2_refseqV205-0.55	0.096941643
NA12878_NegControl_SL126487_0-kraken2_refseqV205-0.30	0.014393501
ani99_cLOW_stFalse_r3-kraken2_refseqV205-0.80	0.136730457
ani99_cLOW_stFalse_r3-kraken2_refseqV205-0.25	0.126720424
NA12878_NegControl_SL126487_0-kraken2_refseqV205-0.20	0.023917976
ani99_cLOW_stFalse_r3-kraken2_refseqV205-0.95	0.239130643
ani99_cLOW_stFalse_r3-kraken2_refseqV205-0.10	0.151063746
NA12878_NegControl_SL126487_0-kraken2_refseqV205-0.15	0.037115877
NA12878_NegControl_SL126487_0-kraken2_refseqV205-0.10	0.053192525
ani99_cLOW_stFalse_r3-kraken2_refseqV205-0.90	0.17945666
ani99_cLOW_stFalse_r3-kraken2_refseqV205-0.40	0.096461115
NA12878_NegControl_SL126487_0-kraken2_refseqV205-0.75	0.009999891
NA12878_NegControl_SL126487_0-kraken2_refseqV205-0.85	0.022732005
NA12878_NegControl_SL126487_0-kraken2_refseqV205-0.35	0.010888828
NA12878_NegControl_SL126487_0-kraken2_refseqV205-0.50	0.007553279
ani99_cLOW_stFalse_r3-kraken2_refseqV205-0.75	0.124166757
ani99_cLOW_stFalse_r3-kraken2_refseqV205-0.65	0.106832052
ani99_cLOW_stFalse_r3-kraken2_refseqV205-1.00	0.362804696
ani99_cLOW_stFalse_r3-kraken2_refseqV205-0.85	0.152963006
ani99_cLOW_stFalse_r3-kraken2_refseqV205-0.70	0.115318313
NA12878_NegControl_SL126487_0-kraken2_refseqV205-0.70	0.00784235
NA12878_NegControl_SL126487_0-kraken2_refseqV205-0.80	0.013542883
ani99_cLOW_stFalse_r3-kraken2_refseqV205-0.05	0.178038614
NA12878_NegControl_SL126487_0-kraken2_refseqV205-0.00	0.140739567
ani99_cLOW_stFalse_r3-kraken2_refseqV205-0.20	0.125173464
ani99_cLOW_stFalse_r3-kraken2_refseqV205-0.45	0.094656129
NA12878_NegControl_SL126487_0-kraken2_refseqV205-0.25	0.018184367
NA12878_NegControl_SL126487_0-kraken2_refseqV205-0.40	0.009048914
NA12878_NegControl_SL126487_0-kraken2_refseqV205-0.45	0.008213983
ani99_cLOW_stFalse_r3-kraken2_refseqV205-0.00	0.206598764
NA12878_NegControl_SL126487_0-kraken2_refseqV205-0.05	0.104821026
ani99_cLOW_stFalse_r3-kraken2_refseqV205-0.15	0.135800502
NA12878_NegControl_SL126487_0-kraken2_refseqV205-0.55	0.006905416
ani99_cLOW_stFalse_r8-kraken2_refseqV205-0.90	0.426197038
ani99_cLOW_stFalse_r8-kraken2_refseqV205-0.15	0.239726923
ani99_cLOW_stFalse_r8-kraken2_refseqV205-0.80	0.382152968
ani99_cLOW_stFalse_r8-kraken2_refseqV205-0.10	0.201911439
ani99_cLOW_stFalse_r8-kraken2_refseqV205-0.75	0.368037967
ani99_cLOW_stFalse_r8-kraken2_refseqV205-0.60	0.333609874
ani99_cLOW_stFalse_r8-kraken2_refseqV205-0.50	0.316364041
ani99_cLOW_stFalse_r8-kraken2_refseqV205-0.45	0.310463539
ani99_cLOW_stFalse_r8-kraken2_refseqV205-0.65	0.345265996
ani99_cLOW_stFalse_r8-kraken2_refseqV205-0.30	0.293825478
ani99_cLOW_stFalse_r8-kraken2_refseqV205-0.25	0.236842652
ani99_cLOW_stFalse_r8-kraken2_refseqV205-0.35	0.298418307
ani99_cLOW_stFalse_r8-kraken2_refseqV205-0.40	0.304019503
ani99_cLOW_stFalse_r8-kraken2_refseqV205-0.85	0.400261237
ani99_cLOW_stFalse_r8-kraken2_refseqV205-0.55	0.324453876
ani99_cLOW_stFalse_r8-kraken2_refseqV205-0.95	0.472257513
ani99_cLOW_stFalse_r8-kraken2_refseqV205-0.70	0.357352089
ani99_cLOW_stFalse_r8-kraken2_refseqV205-0.05	0.229657001
ani99_cLOW_stFalse_r8-kraken2_refseqV205-0.20	0.229709037
NA12878_NegControl_SL126487_0-kraken2_refseqV205-1.00	0.150654924
ani99_cLOW_stFalse_r8-kraken2_refseqV205-0.00	0.277540217
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-0.70	0.347649125
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-0.60	0.329741275
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-0.40	0.306111107
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-0.80	0.366423827
NA12878_NegControl_SL126487_0-kraken2_refseqV205-0.95	0.075815878
ani99_cLOW_stFalse_r8-kraken2_refseqV205-1.00	0.569254516
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-0.00	0.298846975
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-0.10	0.27816892
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-0.55	0.323806417
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-0.20	0.284866586
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-0.65	0.338311013
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-0.45	0.312169513
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-0.50	0.317496874
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-0.35	0.300505792
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-0.75	0.355551783
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-0.15	0.281357287
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-0.25	0.288914537
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-0.30	0.295411611
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-0.05	0.288581303
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.35	0.153490394
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-1.00	0.474113585
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-0.95	0.422608767
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.20	0.134132912
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.45	0.16574845
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.40	0.15927198
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.00	0.146711543
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.15	0.130324924
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.00	0.333804432
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.85	0.230356633
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.25	0.356249115
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.20	0.349794406
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.80	0.217315415
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.45	0.386480134
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.50	0.392514246
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-0.85	0.37867863
