Sample name	Faith's phylogenetic diversity
ani95_cLOW_stFalse_r9-kraken2_standard_0521-0.45	1256.0
ani95_cLOW_stFalse_r9-kraken2_standard_0521-0.30	1576.0
ani95_cLOW_stFalse_r9-kraken2_standard_0521-0.40	1346.0
ani95_cLOW_stFalse_r9-kraken2_standard_0521-0.35	1428.0
ani95_cLOW_stFalse_r9-kraken2_standard_0521-0.05	5796.0
ani95_cLOW_stFalse_r9-kraken2_standard_0521-0.25	1761.0
ani95_cLOW_stFalse_r9-kraken2_standard_0521-0.15	2460.0
ani95_cLOW_stFalse_r9-kraken2_standard_0521-0.10	3396.0
ani95_cLOW_stFalse_r9-kraken2_standard_0521-0.20	1995.0
ani95_cLOW_stFalse_r9-kraken2_standard_0521-0.00	9455.0
ani95_cLOW_stFalse_r9-kraken2_standard_0521-0.90	800.0
ani95_cLOW_stFalse_r9-kraken2_standard_0521-0.65	1018.0
ani95_cLOW_stFalse_r9-kraken2_standard_0521-0.50	1184.0
ani95_cLOW_stFalse_r9-kraken2_standard_0521-0.75	946.0
ani95_cLOW_stFalse_r9-kraken2_standard_0521-0.60	1064.0
ani95_cLOW_stFalse_r9-kraken2_standard_0521-0.70	976.0
ani95_cLOW_stFalse_r9-kraken2_standard_0521-0.80	891.0
ani95_cLOW_stFalse_r9-kraken2_standard_0521-0.85	837.0
ani95_cLOW_stFalse_r9-kraken2_standard_0521-0.95	749.0
ani95_cLOW_stFalse_r9-kraken2_standard_0521-0.55	1120.0
ani95_cLOW_stTrue_r8-kraken2_standard_0521-0.40	1117.0
ani95_cLOW_stTrue_r8-kraken2_standard_0521-0.30	1306.0
ani95_cLOW_stTrue_r8-kraken2_standard_0521-0.25	1449.0
ani95_cLOW_stTrue_r8-kraken2_standard_0521-0.15	1944.0
ani95_cLOW_stTrue_r8-kraken2_standard_0521-0.35	1216.0
ani95_cLOW_stFalse_r9-kraken2_standard_0521-1.00	697.0
ani95_cLOW_stTrue_r8-kraken2_standard_0521-0.20	1620.0
