Sample name	Weighted unifrac distance relative abundance
HMP_even_illum_SRR172902-kraken2_refseqV205_proportions-0.25	900.5
HMP_even_illum_SRR172902-kraken2_refseqV205_proportions-0.35	934.5
HMP_even_illum_SRR172902-kraken2_refseqV205_proportions-0.30	914.0
HMP_even_illum_SRR172902-kraken2_refseqV205_proportions-0.15	901.5
HMP_even_illum_SRR172902-kraken2_refseqV205_proportions-0.20	921.0
HMP_even_illum_SRR172902-kraken2_refseqV205_proportions-0.40	940.0
HMP_even_illum_SRR172902-kraken2_refseqV205_proportions-0.45	927.5
HMP_even_illum_SRR172902-kraken2_refseqV205_proportions-0.10	882.0
HMP_even_illum_SRR172902-kraken2_refseqV205_proportions-0.00	871.5
HMP_even_illum_SRR172902-kraken2_refseqV205_proportions-0.05	882.0
HMP_even_illum_SRR172902-kraken2_refseqV205_proportions-0.75	938.5
HMP_even_illum_SRR172902-kraken2_refseqV205_proportions-0.60	925.0
HMP_even_illum_SRR172902-kraken2_refseqV205_proportions-0.65	925.0
HMP_even_illum_SRR172902-kraken2_refseqV205_proportions-0.55	925.0
HMP_even_illum_SRR172902-kraken2_refseqV205_proportions-0.50	919.5
HMP_even_illum_SRR172902-kraken2_refseqV205_proportions-0.80	951.0
HMP_even_illum_SRR172902-kraken2_refseqV205_proportions-0.95	938.5
HMP_even_illum_SRR172902-kraken2_refseqV205_proportions-0.70	951.0
HMP_even_illum_SRR172902-kraken2_refseqV205_proportions-0.90	938.5
HMP_even_illum_SRR172902-kraken2_refseqV205_proportions-0.85	951.0
HMP_even_illum_SRR172902-kraken2_refseqV205_proportions-1.00	943.5
ZymoMock-kraken2_refseqV205_proportions-0.15	298.5833333333333
ZymoMock-kraken2_refseqV205_proportions-0.30	281.0833333333333
ZymoMock-kraken2_refseqV205_proportions-0.20	288.58333333333337
ZymoMock-kraken2_refseqV205_proportions-0.25	330.75
ZymoMock-kraken2_refseqV205_proportions-0.40	217.0
ZymoMock-kraken2_refseqV205_proportions-0.35	662.75
ZymoMock-kraken2_refseqV205_proportions-0.10	330.875
ZymoMock-kraken2_refseqV205_proportions-0.05	327.0
ZymoMock-kraken2_refseqV205_proportions-0.00	292.5833333333333
ZymoMock-kraken2_refseqV205_proportions-0.55	667.75
ZymoMock-kraken2_refseqV205_proportions-0.80	684.25
ZymoMock-kraken2_refseqV205_proportions-0.75	682.75
ZymoMock-kraken2_refseqV205_proportions-0.70	212.5
ZymoMock-kraken2_refseqV205_proportions-0.85	710.25
ZymoMock-kraken2_refseqV205_proportions-0.45	213.0
ZymoMock-kraken2_refseqV205_proportions-0.60	214.0
ZymoMock-kraken2_refseqV205_proportions-0.50	216.75
ZymoMock-kraken2_refseqV205_proportions-0.65	217.0
ZymoMock-kraken2_refseqV205_proportions-0.90	699.25
BioPool-kraken2_refseqV205_proportions-0.10	198.85000000000002
BioPool-kraken2_refseqV205_proportions-0.20	197.60000000000002
BioPool-kraken2_refseqV205_proportions-0.25	206.63636363636365
BioPool-kraken2_refseqV205_proportions-0.35	228.9642857142857
BioPool-kraken2_refseqV205_proportions-0.15	197.70000000000002
ZymoMock-kraken2_refseqV205_proportions-0.95	716.75
BioPool-kraken2_refseqV205_proportions-0.30	223.8076923076923
ZymoMock-kraken2_refseqV205_proportions-1.00	716.75
BioPool-kraken2_refseqV205_proportions-0.05	210.59090909090912
BioPool-kraken2_refseqV205_proportions-0.00	193.55555555555557
BioPool-kraken2_refseqV205_proportions-0.65	135.83333333333331
BioPool-kraken2_refseqV205_proportions-0.55	123.33333333333334
BioPool-kraken2_refseqV205_proportions-0.50	136.41666666666666
BioPool-kraken2_refseqV205_proportions-0.60	128.66666666666669
BioPool-kraken2_refseqV205_proportions-0.70	142.83333333333331
BioPool-kraken2_refseqV205_proportions-0.80	321.75
BioPool-kraken2_refseqV205_proportions-0.75	150.66666666666669
BioPool-kraken2_refseqV205_proportions-0.85	322.75
BioPool-kraken2_refseqV205_proportions-0.40	158.07142857142856
BioPool-kraken2_refseqV205_proportions-0.45	195.2
HMP_even_454_SRR072233-kraken2_refseqV205_proportions-0.25	951.0
HMP_even_454_SRR072233-kraken2_refseqV205_proportions-0.05	901.5
HMP_even_454_SRR072233-kraken2_refseqV205_proportions-0.30	954.5
BioPool-kraken2_refseqV205_proportions-0.90	344.0
HMP_even_454_SRR072233-kraken2_refseqV205_proportions-0.15	938.5
BioPool-kraken2_refseqV205_proportions-0.95	185.16666666666666
HMP_even_454_SRR072233-kraken2_refseqV205_proportions-0.20	938.5
HMP_even_454_SRR072233-kraken2_refseqV205_proportions-0.10	926.0
BioPool-kraken2_refseqV205_proportions-1.00	164.16666666666666
HMP_even_454_SRR072233-kraken2_refseqV205_proportions-0.00	840.0
HMP_even_454_SRR072233-kraken2_refseqV205_proportions-0.60	977.0
HMP_even_454_SRR072233-kraken2_refseqV205_proportions-0.55	976.0
HMP_even_454_SRR072233-kraken2_refseqV205_proportions-0.35	953.5
HMP_even_454_SRR072233-kraken2_refseqV205_proportions-0.65	970.0
HMP_even_454_SRR072233-kraken2_refseqV205_proportions-0.70	997.0
HMP_even_454_SRR072233-kraken2_refseqV205_proportions-0.75	1008.5
HMP_even_454_SRR072233-kraken2_refseqV205_proportions-0.40	947.0
HMP_even_454_SRR072233-kraken2_refseqV205_proportions-0.45	949.0
HMP_even_454_SRR072233-kraken2_refseqV205_proportions-0.50	964.0
HMP_even_454_SRR072233-kraken2_refseqV205_proportions-0.80	1033.0
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.25	412.5
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.15	333.0
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.20	369.5
HMP_even_454_SRR072233-kraken2_refseqV205_proportions-0.95	1102.5
HMP_even_454_SRR072233-kraken2_refseqV205_proportions-1.00	1191.0
HMP_even_454_SRR072233-kraken2_refseqV205_proportions-0.85	1070.0
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.10	293.5
HMP_even_454_SRR072233-kraken2_refseqV205_proportions-0.90	1109.0
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.05	337.0
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.00	439.5
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.65	354.5
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.45	420.0
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.55	372.0
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.40	427.5
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.50	384.5
