File name,User time (s),System time (s),Wall time (h:mm:ss or m:ss),Maximum set size (kb),Threads,CPU (%)
kraken2_standard_ani97_cHIGH_stTrue_r5_0.10,299.03,12.56,0:27.01,53185204, 12 ,1153%
kraken2_standard_ani95_cLOW_stFalse_r9.fastq.bowtie2out_0.70,0.05,0.00,0:00.03,7600, 12 ,154%
kraken2_standard_ani97_cLOW_stFalse_r2_0.50,329.37,14.48,0:29.79,53144408, 12 ,1154%
kraken2_standard_MGRG_nanopore_b8.fail.2d.fastq.bowtie2out_0.55,0.03,0.00,0:00.03,6752, 12 ,111%
kraken2_standard_ani100_cHIGH_stTrue_r1_0.70,327.84,15.30,0:29.73,53144520, 12 ,1153%
kraken2_standard_ani99_cLOW_stTrue_r7.fastq.bowtie2out_1.00,0.05,0.00,0:00.03,7516, 12 ,157%
kraken2_standard_JGI_SRR033547_0.30,0.11,0.02,0:00.05,209084, 12 ,261%
kraken2_standard_ani100_cLOW_stFalse_r6_0.30,349.97,11.68,0:31.24,53004832, 12 ,1157%
kraken2_standard_HMP_even_454_SRR072233_0.30,127.71,8.82,0:12.40,52860332, 12 ,1100%
kraken2_standard_ani100_cLOW_stTrue_r5_0.80,377.46,12.24,0:33.49,53094236, 12 ,1163%
kraken2_standard_ani99_cHIGH_stFalse_r4_0.10,343.92,12.17,0:30.78,53141276, 12 ,1156%
kraken2_standard_ani97_cLOW_stTrue_r3_0.80,315.95,11.55,0:28.33,53115016, 12 ,1155%
kraken2_standard_MGRG_nanopore_b9.pass.2d.fastq.bowtie2out_0.60,0.03,0.00,0:00.03,6804, 12 ,108%
kraken2_standard_ani95_cLOW_stFalse_r0.fastq.bowtie2out_1.00,0.05,0.00,0:00.03,7516, 12 ,152%
kraken2_standard_ani95_cLOW_stTrue_r6_0.10,337.26,12.00,0:30.16,53154312, 12 ,1157%
kraken2_standard_MGRG_nanopore_b4.fail.2d_0.05,0.46,1.26,0:01.57,21089580, 12 ,109%
kraken2_standard_ani97_cHIGH_stFalse_r1_0.80,328.45,11.72,0:29.53,53107392, 12 ,1151%
kraken2_standard_Huttenhower_LC8.fasta.bowtie2out_0.10,0.03,0.00,0:00.03,6728, 12 ,116%
kraken2_standard_NA12878_NegControl_SL126487_0_0.55,543.52,20.61,0:48.16,53534696, 12 ,1171%
kraken2_standard_ani100_cHIGH_stFalse_r7_0.75,350.55,11.51,0:31.22,52995404, 12 ,1159%
kraken2_standard_ani97_cHIGH_stFalse_r6_0.00,340.89,15.37,0:36.00,53139376, 12 ,989%
kraken2_standard_Mavromatis_simMC_0.80,19.19,4.59,0:03.05,52804688, 12 ,779%
kraken2_standard_ani95_cLOW_stTrue_r1_0.90,325.68,11.85,0:29.19,53032356, 12 ,1155%
kraken2_standard_RH_S005__insert_270.fasta.bowtie2out_0.85,0.03,0.02,0:00.03,7404, 12 ,171%
kraken2_standard_MGRG_nanopore_b3.fail.2d.fastq.bowtie2out_0.50,0.04,0.00,0:00.03,6804, 12 ,114%
kraken2_standard_Carma_eval_carma_0.60,1.47,3.16,0:02.35,47254300, 12 ,196%
kraken2_standard_ani100_cHIGH_stFalse_r4.fastq.bowtie2out_0.80,0.04,0.02,0:00.04,7572, 12 ,175%
kraken2_standard_ani100_cLOW_stTrue_r2_0.00,333.48,14.16,0:35.20,53162488, 12 ,987%
kraken2_standard_ani97_cLOW_stTrue_r4_0.00,323.86,13.88,0:33.27,53161268, 12 ,1015%
kraken2_standard_ani99_cHIGH_stFalse_r3_0.90,314.89,11.98,0:28.29,53066356, 12 ,1155%
kraken2_standard_ani99_cLOW_stTrue_r9.fastq.bowtie2out_0.35,0.04,0.02,0:00.03,7524, 12 ,189%
kraken2_standard_UnAmbiguouslyMapped_ds.hous1_0.80,10.42,4.57,0:02.21,52832860, 12 ,676%
kraken2_standard_ani100_cHIGH_stFalse_r0.fastq.bowtie2out_0.85,0.06,0.00,0:00.03,7528, 12 ,174%
kraken2_standard_ani97_cHIGH_stTrue_r2_0.90,360.73,11.37,0:32.00,53091296, 12 ,1162%
kraken2_standard_ani100_cHIGH_stFalse_r6.fastq.bowtie2out_0.05,0.06,0.00,0:00.03,7588, 12 ,171%
kraken2_standard_ZymoMock.fastq.bowtie2out_0.55,0.05,0.00,0:00.03,7520, 12 ,177%
kraken2_standard_BMI_bmi_reads_0.95,85.26,6.72,0:08.84,52863444, 12 ,1040%
kraken2_standard_JGI_SRR033548_0.30,1.07,2.85,0:01.52,38757840, 12 ,256%
kraken2_standard_ani100_cLOW_stFalse_r9_0.30,336.87,11.96,0:30.17,53076532, 12 ,1155%
kraken2_standard_Raiphy_eval_RAIphy_0.65,18.83,4.74,0:03.05,52832736, 12 ,771%
kraken2_standard_MGRG_nanopore_b3.fail.2d_0.60,0.13,0.15,0:00.19,1299100, 12 ,146%
kraken2_standard_RL_S001__insert_270.fasta.bowtie2out_0.85,0.04,0.02,0:00.03,7548, 12 ,191%
kraken2_standard_ani100_cHIGH_stFalse_r2.fastq.bowtie2out_0.00,0.06,0.05,0:00.11,7508, 12 ,104%
kraken2_standard_ani95_cLOW_stTrue_r9_0.10,347.08,11.25,0:31.05,53153964, 12 ,1153%
kraken2_standard_UnAmbiguouslyMapped_ds.frankengenome.mix_0.15,103.46,7.55,0:10.23,52832520, 12 ,1084%
kraken2_standard_ani99_cHIGH_stTrue_r5_0.80,325.89,12.17,0:29.24,53140300, 12 ,1155%
kraken2_standard_JGI_SRR033548.fastq.bowtie2out_0.35,0.03,0.00,0:00.03,6684, 12 ,111%
kraken2_standard_ani99_cHIGH_stTrue_r2_0.00,332.58,13.90,0:40.81,53136220, 12 ,848%
kraken2_standard_ani99_cLOW_stFalse_r5_0.40,311.70,12.65,0:28.10,53128556, 12 ,1154%
kraken2_standard_ani97_cHIGH_stFalse_r9_0.00,333.48,14.97,0:50.58,53166184, 12 ,688%
kraken2_standard_ani100_cHIGH_stFalse_r8_0.75,349.51,12.82,0:31.26,53009580, 12 ,1158%
kraken2_standard_MGRG_nanopore_b1.pass.2d.fastq.bowtie2out_0.10,0.03,0.00,0:00.03,6800, 12 ,111%
kraken2_standard_ani100_cHIGH_stFalse_r1.fastq.bowtie2out_0.40,0.04,0.01,0:00.03,7464, 12 ,152%
kraken2_standard_ani99_cLOW_stTrue_r1_0.65,326.12,13.61,0:29.40,53124028, 12 ,1155%
kraken2_standard_ani95_cLOW_stFalse_r0_0.55,318.70,13.67,0:28.78,53107492, 12 ,1154%
kraken2_standard_ani100_cHIGH_stFalse_r5.fastq.bowtie2out_0.45,0.04,0.02,0:00.03,7524, 12 ,178%
kraken2_standard_Huttenhower_LC6_0.65,3.71,4.01,0:01.57,52248524, 12 ,491%
kraken2_standard_RH_S005__insert_270_0.15,2332.41,42.32,3:19.43,53421580, 12 ,1190%
kraken2_standard_ani100_cHIGH_stTrue_r7.fastq.bowtie2out_0.55,0.05,0.01,0:00.03,7516, 12 ,176%
kraken2_standard_ani97_cHIGH_stFalse_r2_0.15,356.01,11.92,0:31.74,53157992, 12 ,1159%
kraken2_standard_ani100_cHIGH_stFalse_r3_0.60,354.32,11.88,0:31.64,52963020, 12 ,1157%
kraken2_standard_ani99_cLOW_stFalse_r0.fastq.bowtie2out_0.75,0.08,0.01,0:00.04,7516, 12 ,220%
kraken2_standard_ani97_cHIGH_stFalse_r5.fastq.bowtie2out_0.10,0.02,0.04,0:00.03,7544, 12 ,168%
kraken2_standard_ani95_cLOW_stTrue_r5_0.85,356.16,12.38,0:31.72,53027984, 12 ,1161%
kraken2_standard_ani97_cLOW_stTrue_r3.fastq.bowtie2out_0.10,0.06,0.00,0:00.04,7520, 12 ,175%
