TAXPATH,RM1_S001__insert_5000,RM2_S001__insert_270,RH_S001__insert_270,RL_S001__insert_270,RH_S003__insert_270,RM2_S002__insert_270,RM1_S002__insert_5000,RH_S002__insert_270,RH_S004__insert_270,RH_S005__insert_270
1224,7106585.0,21409068.0,14415673.0,5951051.0,14326461.0,10272606.0,3410358.0,14965223.0,14573470.0,14796127.0
1239,2160641.0,6509095.0,3236267.0,9299220.0,3547089.0,7570960.0,2513451.0,3379782.0,3599037.0,3276919.0
200795,0.0,0.0,0.0,1343358.0,0.0,0.0,0.0,0.0,0.0,0.0
200918,0.0,0.0,97315.0,0.0,254312.0,0.0,0.0,65772.0,159288.0,228149.0
201174,1432221.0,4314673.0,6843531.0,3869503.0,6545121.0,7193570.0,2388168.0,6395660.0,6639469.0,6604840.0
203691,0.0,0.0,176666.0,0.0,101006.0,0.0,0.0,107792.0,66768.0,65271.0
28890,22401.0,67489.0,248029.0,0.0,404024.0,1396924.0,463761.0,227359.0,366381.0,427454.0
32066,0.0,0.0,15270.0,0.0,125459.0,0.0,0.0,201612.0,98407.0,62776.0
40117,0.0,0.0,8284.0,0.0,39923.0,0.0,0.0,16168.0,42916.0,33833.0
544448,3015.0,9085.0,114184.0,2813856.0,86534.0,159859.0,53071.0,126855.0,58584.0,124553.0
65842,0.0,0.0,5489.0,0.0,23954.0,0.0,0.0,12675.0,17665.0,26747.0
74201,0.0,0.0,224177.0,0.0,114181.0,0.0,0.0,133043.0,114376.0,117766.0
976,192406.0,579652.0,3132664.0,5236612.0,2948935.0,1916614.0,636287.0,2883936.0,2779639.0,2751255.0
unclassified,22223161.0,66948695.0,71292882.0,71283333.0,71291576.0,71276111.0,23662748.0,71292338.0,71288784.0,71288568.0
