#Organism Name,Organism Groups,Assembly,Size(Mb),GC%
Pyropia yezoensis,Eukaryota;Other;Other,GCA_009829735.1,107.591,64.8454
Emiliania huxleyi CCMP1516,Eukaryota;Protists;Other Protists,GCA_000372725.1,167.676,64.5
Arabidopsis thaliana,Eukaryota;Plants;Land Plants,GCA_000001735.2,119.669,36.0529
Glycine max,Eukaryota;Plants;Land Plants,GCA_000004515.5,978.942,35.1221
Medicago truncatula,Eukaryota;Plants;Land Plants,GCA_003473485.2,430.008,33.4462
Solanum lycopersicum,Eukaryota;Plants;Land Plants,GCA_000188115.3,828.349,35.6991
Hordeum vulgare subsp. vulgare,Eukaryota;Plants;Land Plants,GCA_904849725.1,4225.58,44.4651
Oryza sativa Japonica Group,Eukaryota;Plants;Land Plants,GCA_001433935.1,374.423,43.5769
Triticum aestivum,Eukaryota;Plants;Land Plants,GCA_002220415.3,15418.8,46.0967
Zea mays,Eukaryota;Plants;Land Plants,GCA_902167145.1,2182.79,46.7831
Pneumocystis carinii B80,Eukaryota;Fungi;Ascomycetes,GCA_001477545.1,7.66146,27.8
Schizosaccharomyces pombe,Eukaryota;Fungi;Ascomycetes,GCA_000002945.2,12.5913,36.0381
Saccharomyces cerevisiae S288C,Eukaryota;Fungi;Ascomycetes,GCA_000146045.2,12.1571,38.1556
Aspergillus nidulans FGSC A4,Eukaryota;Fungi;Ascomycetes,GCA_000149205.2,30.276,50.2721
Aspergillus fumigatus Af293,Eukaryota;Fungi;Ascomycetes,GCA_000002655.1,29.385,49.8105
Neurospora crassa OR74A,Eukaryota;Fungi;Ascomycetes,GCA_000182925.2,41.1024,48.2319
Candida albicans SC5314,Eukaryota;Fungi;Ascomycetes,GCA_000182965.3,14.2827,33.4827
Leishmania major strain Friedlin,Eukaryota;Protists;Kinetoplasts,GCA_000002725.2,32.8551,59.7114
Trypanosoma brucei brucei TREU927,Eukaryota;Protists;Kinetoplasts,GCA_000002445.1,26.0755,46.4407
Trypanosoma cruzi strain CL Brener,Eukaryota;Protists;Kinetoplasts,GCA_000209065.1,89.9375,51.7
Giardia intestinalis,Eukaryota;Protists;Other Protists,GCA_000002435.2,12.0782,49.7345
Entamoeba histolytica HM-1:IMSS,Eukaryota;Protists;Other Protists,GCA_000208925.2,20.8354,24.3
Eimeria tenella,Eukaryota;Protists;Apicomplexans,GCA_000499545.1,51.8944,51.0796
Cryptosporidium parvum Iowa II,Eukaryota;Protists;Apicomplexans,GCA_000165345.1,9.10232,30.2256
