Accession	GTDB species	NCBI species	Genome size (bp)	Community (%)	Reads (%)	No. simulated reads	Genome file
G900638355	s__Helicobacter_D pullorum	s__Helicobacter pullorum	1733410	0.00026654402422345155	0.00011115207950352535	8	GCA_900638355.1_genomic.fna.gz
G002901995	s__Staphylococcus schleiferi	s__Staphylococcus schleiferi	2443567	0.049521035487144954	0.029111280762856885	2038	GCA_002901995.1_genomic.fna.gz
G002939035	s__Ralstonia insidiosa	s__Ralstonia insidiosa	6115292	0.01171949547884111	0.017241436979362194	1207	GCA_002939035.1_genomic.fna.gz
G003387995	s__Staphylococcus felis	s__Staphylococcus felis	2325452	0.16585824945414387	0.09278799728418757	6495	GCA_003387995.1_genomic.fna.gz
G003387835	s__Staphylococcus felis	s__Staphylococcus felis	2367961	0.0026942339026003437	0.0015348190686506722	107	GCA_003387835.1_genomic.fna.gz
G003391625	s__Staphylococcus felis	s__Staphylococcus felis	2405281	0.001669861223594659	0.0009662589837732857	68	GCA_003391625.1_genomic.fna.gz
G001697285	s__Ruminiclostridium_B stercorarium	s__Thermoclostridium stercorarium	3148357	0.009975512432273468	0.007555557770817202	529	GCA_001697285.1_genomic.fna.gz
G003439895	s__Parabacteroides gordonii	s__Parabacteroides gordonii	6348904	0.11623543355760214	0.17753526973871592	12427	GCA_003439895.1_genomic.fna.gz
G002797135	s__Prevotella intermedia	s__Prevotella intermedia	3027672	0.0007098256913381508	0.0005170206421914801	36	GCA_002797135.1_genomic.fna.gz
G000827975	s__Xanthomonas phaseoli	s__Xanthomonas phaseoli	5153892	0.0006639421186171394	0.0008232142466474233	58	GCA_000827975.2_genomic.fna.gz
G004025275	s__Xanthomonas phaseoli	s__Xanthomonas phaseoli	5150175	0.00034353669183137054	0.0004256400247233102	30	GCA_004025275.1_genomic.fna.gz
G000762315	s__Clostridium_G tetani	s__Clostridium tetani	2800144	0.004988912298245861	0.0033607296649664433	235	GCA_000762315.1_genomic.fna.gz
G004115705	s__Clostridium_G tetani	s__Clostridium tetani	2931562	0.08352627105321146	0.05890735473372703	4124	GCA_004115705.1_genomic.fna.gz
G002965935	s__Escherichia fergusonii	s__Escherichia fergusonii	4435127	0.05226966594044157	0.05577031905712045	3904	GCA_002965935.1_genomic.fna.gz
G001530495	s__Burkholderia ubonensis	s__Burkholderia ubonensis	6140356	0.005244543166668475	0.007747267640052613	542	GCA_001530495.1_genomic.fna.gz
G001534135	s__Burkholderia ubonensis	s__Burkholderia ubonensis	7279612	0.44615148414281613	0.7813361503684045	54694	GCA_001534135.1_genomic.fna.gz
G005405865	s__Bifidobacterium moukalabense	s__Bifidobacterium moukalabense	2403792	0.09708235271846097	0.056141565957396576	3930	GCA_005405865.1_genomic.fna.gz
G005405805	s__Bifidobacterium moukalabense	s__Bifidobacterium moukalabense	2405620	0.00013499712921420833	7.812659612012617e-05	5	GCA_005405805.1_genomic.fna.gz
G005405845	s__Bifidobacterium moukalabense	s__Bifidobacterium moukalabense	2451409	1.0143687768390188	0.5982173341934728	41875	GCA_005405845.1_genomic.fna.gz
G005405765	s__Bifidobacterium moukalabense	s__Bifidobacterium moukalabense	2596081	0.0003860755513267635	0.00024112258070319912	17	GCA_005405765.1_genomic.fna.gz
G003462945	s__Parabacteroides distasonis	s__Parabacteroides distasonis	5378741	0.017948529942949466	0.02322506084798347	1626	GCA_003462945.1_genomic.fna.gz
G003439415	s__Parabacteroides distasonis	s__Parabacteroides distasonis	5294086	0.01075871736993036	0.013702469211775715	959	GCA_003439415.1_genomic.fna.gz
G003472045	s__Parabacteroides distasonis	s__Parabacteroides distasonis	4929709	0.024620870762737567	0.029199272852139926	2044	GCA_003472045.1_genomic.fna.gz
G003468605	s__Parabacteroides distasonis	s__Parabacteroides distasonis	4939379	0.028591899583419095	0.03397525344014848	2378	GCA_003468605.1_genomic.fna.gz
G002358135	s__Vibrio mediterranei	s__Vibrio mediterranei	5945836	0.011026115756980983	0.015771856534338383	1104	GCA_002358135.1_genomic.fna.gz
G002995655	s__Vibrio mediterranei	s__Vibrio mediterranei	5877037	0.0014132196236019275	0.0019980917580895248	140	GCA_002995655.1_genomic.fna.gz
