Accession	GTDB species	NCBI species	Genome size (bp)	Community (%)	Reads (%)	No. simulated reads	Genome file
G900453405	s__Mannheimia haemolytica	s__Mannheimia haemolytica	2245561	0.06294734931740308	0.046384596614751215	3247	GCA_900453405.1_genomic.fna.gz
G001446465	s__Aeromonas veronii	s__Aeromonas veronii	4533329	0.05376299252576904	0.07997829709290262	5598	GCA_001446465.1_genomic.fna.gz
G001446775	s__Aeromonas veronii	s__Aeromonas veronii	4675505	0.00018269068018022527	0.00028029567633254684	20	GCA_001446775.1_genomic.fna.gz
G002552575	s__Bacillus_A pseudomycoides	s__Bacillus pseudomycoides	5645385	0.03409040287380406	0.06315346428846136	4421	GCA_002552575.1_genomic.fna.gz
G002550255	s__Bacillus_A pseudomycoides	s__Bacillus pseudomycoides	5608268	0.008344178329628606	0.01535620199608429	1075	GCA_002550255.1_genomic.fna.gz
G002581425	s__Bacillus_A pseudomycoides	s__Bacillus pseudomycoides	5603835	0.11101942152042293	0.20415300629670108	14291	GCA_002581425.1_genomic.fna.gz
G002572465	s__Bacillus_A pseudomycoides	s__Bacillus pseudomycoides	5303175	0.00020699936528802148	0.00036022715873801657	25	GCA_002572465.1_genomic.fna.gz
G002556975	s__Bacillus_A pseudomycoides	s__Bacillus pseudomycoides	5603647	0.0037422434988728143	0.006881360210984502	482	GCA_002556975.1_genomic.fna.gz
G002860945	s__Streptococcus anginosus	s__Streptococcus anginosus	2117394	0.021210901040849703	0.014737787016933474	1032	GCA_002860945.1_genomic.fna.gz
G003463665	s__Streptococcus anginosus	s__Streptococcus anginosus	2317627	0.006612679136270656	0.005029125483657898	352	GCA_003463665.1_genomic.fna.gz
G001706155	s__Acinetobacter pittii	s__Acinetobacter pittii	4082577	0.08204295742353722	0.10991252167626223	7694	GCA_001706155.1_genomic.fna.gz
G001716935	s__Acinetobacter pittii	s__Acinetobacter pittii	3791746	0.0008723196646099191	0.0010853914103052561	76	GCA_001716935.1_genomic.fna.gz
G003947915	s__Acinetobacter pittii	s__Acinetobacter pittii	4099115	0.0017885934619141606	0.002405875898914317	168	GCA_003947915.1_genomic.fna.gz
G001716945	s__Acinetobacter pittii	s__Acinetobacter pittii	3789564	0.02594568618133714	0.032264570415340206	2259	GCA_001716945.1_genomic.fna.gz
G001706135	s__Acinetobacter pittii	s__Acinetobacter pittii	4032552	0.03631708153985655	0.04805763533361634	3364	GCA_001706135.1_genomic.fna.gz
G001706195	s__Acinetobacter pittii	s__Acinetobacter pittii	4096444	0.005741778333039091	0.007718358106401893	540	GCA_001706195.1_genomic.fna.gz
G002529435	s__Prevotella intermedia	s__Prevotella intermedia	2620156	0.024386518267113907	0.020967585795042168	1468	GCA_002529435.1_genomic.fna.gz
G002797155	s__Prevotella intermedia	s__Prevotella intermedia	2730832	0.13598452662385582	0.12185853627779682	8530	GCA_002797155.1_genomic.fna.gz
G002355195	s__Prevotella intermedia	s__Prevotella intermedia	3148117	0.005431619727390314	0.005611147714240252	393	GCA_002355195.1_genomic.fna.gz
G002763535	s__Prevotella intermedia	s__Prevotella intermedia	2777805	0.5970189215685379	0.5442035006194382	38094	GCA_002763535.1_genomic.fna.gz
G003861325	s__Prevotella intermedia	s__Prevotella intermedia	2849281	0.059143222703989286	0.0552982958511563	3871	GCA_003861325.1_genomic.fna.gz
G001594285	s__Prevotella intermedia	s__Prevotella intermedia	2673161	0.011499350727835787	0.010087183390160046	706	GCA_001594285.1_genomic.fna.gz
G002763785	s__Prevotella intermedia	s__Prevotella intermedia	2775833	0.030839171201870928	0.028091020234811623	1966	GCA_002763785.1_genomic.fna.gz
G000965835	s__Enterobacter nimipressuralis	s__Enterobacter roggenkampii	4956613	0.005759851959773208	0.009368451505032698	656	GCA_000965835.1_genomic.fna.gz
G004022285	s__Bradyrhizobium yuanmingense	s__Bradyrhizobium yuanmingense	7541929	0.03590215487129975	0.08885347875328194	6220	GCA_004022285.3_genomic.fna.gz
G001264275	s__Xanthomonas arboricola	s__Xanthomonas arboricola	5184222	0.28283954918105836	0.4811663051844931	33682	GCA_001264275.1_genomic.fna.gz
G001741965	s__Xanthomonas arboricola	s__Xanthomonas arboricola	5059067	0.011473326298210892	0.01904720500710649	1333	GCA_001741965.1_genomic.fna.gz
G000685175	s__Xanthomonas arboricola	s__Xanthomonas arboricola	5100656	2.3084110853002002	3.8637646613270404	270464	GCA_000685175.1_genomic.fna.gz
G002777865	s__Snodgrassella alvi	s__Snodgrassella alvi	2520622	0.9472897692089419	0.7835415827602413	54848	GCA_002777865.1_genomic.fna.gz
G002777875	s__Snodgrassella alvi	s__Snodgrassella alvi	2524932	0.019504934510533173	0.016160904469647085	1131	GCA_002777875.1_genomic.fna.gz
G001620325	s__Shewanella baltica	s__Shewanella baltica	5167578	0.03710716034393276	0.06292398830533825	4405	GCA_001620325.1_genomic.fna.gz
G003030925	s__Shewanella baltica	s__Shewanella baltica	4944783	0.013939351547170714	0.022618369194714334	1583	GCA_003030925.1_genomic.fna.gz
G002108935	s__Bradyrhizobium japonicum	s__Bradyrhizobium japonicum	10442239	0.0034990117450191443	0.011989760540665834	839	GCA_002108935.1_genomic.fna.gz
G006716955	s__Bacillus_C megaterium	s__Bacillus megaterium	5388835	0.31731767632163854	0.5611263092017408	39279	GCA_006716955.1_genomic.fna.gz
G003075295	s__Bacillus_C megaterium	s__Bacillus megaterium	5084955	0.06967749985424657	0.1162655775061987	8139	GCA_003075295.1_genomic.fna.gz
G003688675	s__Bacillus_C megaterium	s__Bacillus megaterium	4937440	0.045092921049620885	0.0730603385610063	5114	GCA_003688675.1_genomic.fna.gz
G001238505	s__Bacillus_C megaterium	s__Bacillus megaterium	5669134	0.002949541220987776	0.005487097441161103	384	GCA_001238505.1_genomic.fna.gz
