Accession	GTDB species	NCBI species	Genome size (bp)	Community (%)	Reads (%)	No. simulated reads	Genome file
G003054965	s__Saccharospirillum sp003054965	s__Saccharospirillum sp. MSK14-1	3750085	0.3166592074960435	0.24107272223692017	16875	GCA_003054965.1_genomic.fna.gz
G000062885	s__Saccharopolyspora erythraea	s__Saccharopolyspora erythraea	8212805	0.06888045857093021	0.1148424320194597	8039	GCA_000062885.1_genomic.fna.gz
G001050475	s__Lactobacillus_K ginsenosidimutans	s__Lactobacillus ginsenosidimutans	2590556	0.0458076229044038	0.02409048704015549	1686	GCA_001050475.1_genomic.fna.gz
G000242335	s__Prevotella seregens	s__Prevotella dentalis	3350206	0.011299962511146068	0.007685344763256478	538	GCA_000242335.3_genomic.fna.gz
G000377905	s__Thioalkalivibrio sp000377905	s__Thioalkalivibrio sp. ALMg11	3037788	0.0039890595274650695	0.0024600436850342705	172	GCA_000377905.1_genomic.fna.gz
G000744785	s__Kitasatospora azatica	s__Kitasatospora azatica	8272299	2.2533735335119887	3.7842014909875896	264894	GCA_000744785.1_genomic.fna.gz
G000620165	s__Anoxybacillus_A tepidamans	s__Anoxybacillus tepidamans	3363999	0.003986451841110858	0.0027224331216332033	191	GCA_000620165.1_genomic.fna.gz
G900474915	s__Streptococcus pyogenes	s__Streptococcus pyogenes	1793034	0.07965290256124713	0.0289937887914699	2030	GCA_900474915.1_genomic.fna.gz
G002858715	s__Nissabacter sp002858715	s__Yersiniaceae bacterium 2016Iso4	4686231	0.001076684986909557	0.001024300040500469	72	GCA_002858715.1_genomic.fna.gz
G000188035	s__Streptococcus pseudoporcinus	s__Streptococcus pseudoporcinus	2126865	0.00392560535038768	0.0016949676015097263	119	GCA_000188035.3_genomic.fna.gz
G002982315	s__Leucobacter massiliensis	s__Leucobacter massiliensis	3136406	0.4089743286711669	0.2604013096265127	18228	GCA_002982315.1_genomic.fna.gz
G002160145	s__Fournierella sp002160145	s__Gemmiger sp. An194	3071855	0.6965690249521498	0.434389891262742	30407	GCA_002160145.1_genomic.fna.gz
G002882435	s__Pseudomonas_E fluorescens_J	s__Pseudomonas sp. FW215-L1	6523743	0.020589644409142405	0.02726845487532842	1909	GCA_002882435.1_genomic.fna.gz
