Accession	GTDB species	NCBI species	Genome size (bp)	Community (%)	Reads (%)	No. simulated reads	Genome file
G000818215	s__Acinetobacter calcoaceticus	s__Acinetobacter calcoaceticus	4058823	0.5988100685690146	0.609730484345279	42681	GCA_000818215.1_genomic.fna.gz
G002763535	s__Prevotella intermedia	s__Prevotella intermedia	2777805	0.08233205728455417	0.05737456750182285	4016	GCA_002763535.1_genomic.fna.gz
G003468325	s__Bacteroides uniformis	s__Bacteroides uniformis	4425574	0.07231858248020172	0.08029124900881383	5620	GCA_003468325.1_genomic.fna.gz
G900096985	s__Streptococcus anginosus	s__Streptococcus anginosus	2014025	0.5068168592694091	0.25607348519803996	17925	GCA_900096985.1_genomic.fna.gz
G002581735	s__Bacillus_A toyonensis	s__Bacillus toyonensis	5485531	0.49863997380069297	0.6862059298632196	48034	GCA_002581735.1_genomic.fna.gz
G002094045	s__Streptococcus salivarius	s__Streptococcus salivarius	2219834	0.02047158558100659	0.01140041555875527	798	GCA_002094045.1_genomic.fna.gz
G000808215	s__Pectobacterium carotovorum	s__Pectobacterium carotovorum	4819926	0.052107589285327806	0.06300718166424361	4411	GCA_000808215.1_genomic.fna.gz
G000711005	s__Clostridium_F botulinum	s__Clostridium botulinum	4057812	0.36518663004391555	0.37175386560523915	26023	GCA_000711005.1_genomic.fna.gz
G003465335	s__Enterococcus_C asini	s__Enterococcus asini	2560730	0.05684253610148712	0.036516230320933	2556	GCA_003465335.1_genomic.fna.gz
G003852025	s__Pseudomonas_E synxantha	s__Pseudomonas synxantha	6277070	10.180682500262488	16.03181037173805	1122227	GCA_003852025.1_genomic.fna.gz
G002918915	s__Aeromonas hydrophila	s__Aeromonas hydrophila	5364399	2.22651513737024	2.996369908314534	209746	GCA_002918915.1_genomic.fna.gz
G004022285	s__Bradyrhizobium yuanmingense	s__Bradyrhizobium yuanmingense	7541929	2.8057889849377515	5.30867511092729	371607	GCA_004022285.3_genomic.fna.gz
G003468845	s__Collinsella intestinalis	s__Collinsella intestinalis	1883753	29.848629035602663	14.105778094191383	987404	GCA_003468845.1_genomic.fna.gz
G000965835	s__Enterobacter nimipressuralis	s__Enterobacter roggenkampii	4956613	0.014442743007574338	0.01795905155030855	1257	GCA_000965835.1_genomic.fna.gz
G000390005	s__Pseudomonas_E hunanensis	s__Pseudomonas putida	5625016	0.2530324904593279	0.35706621019090135	24995	GCA_000390005.2_genomic.fna.gz
G000699165	s__Serratia liquefaciens	s__Serratia liquefaciens	5280113	0.1327683594111384	0.17586787162824039	12311	GCA_000699165.1_genomic.fna.gz
G003470225	s__Mitsuokella multacida	s__Mitsuokella multacida	2505597	0.5052064142691329	0.3175621826073254	22229	GCA_003470225.1_genomic.fna.gz
G005930595	s__Pseudomonas_E lactis	s__Pseudomonas lactis	6397553	0.019207818542970653	0.030827665549262546	2158	GCA_005930595.1_genomic.fna.gz
G002243155	s__Finegoldia magna_H	s__Finegoldia magna	1807683	0.03344915554544406	0.015168971446039774	1062	GCA_002243155.1_genomic.fna.gz
G004361925	s__Sunxiuqinia elliptica	s__Sunxiuqinia elliptica	5350779	2.3514973228504	3.1565320587694274	220957	GCA_004361925.1_genomic.fna.gz
G003935845	s__Empedobacter falsenii	s__Empedobacter falsenii	3200517	0.008696439752789054	0.0069824901687104025	489	GCA_003935845.1_genomic.fna.gz
G900087765	s__Helicobacter pylori	s__Helicobacter pylori	1635416	0.3234667311515355	0.13271089070039505	9290	GCA_900087765.1_genomic.fna.gz
G001983245	s__Yersinia enterocolitica	s__Yersinia enterocolitica	4782007	0.2836769292023897	0.3403164376545842	23822	GCA_001983245.1_genomic.fna.gz
G003574175	s__Geobacter sulfurreducens	s__Geobacter sulfurreducens	3726411	0.4860324181379408	0.45436481435891857	31806	GCA_003574175.1_genomic.fna.gz
G006516935	s__Streptomyces griseorubiginosus	s__Streptomyces griseorubiginosus	9226027	0.2431811011815718	0.562850743221332	39400	GCA_006516935.1_genomic.fna.gz
